code,original_name,original_brand,original_categories,original_ingredients,completeness,clean_name,clean_brand,primary_category,dietary_tags,allergens_extracted,is_organic,enrichment_status
16000275287,Cheerios,Cheerios,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals","Whole grain oats, corn starch, sugar, salt, tripotassium phosphate, vitamin e (mixed tocopherols) added to preserve freshness,vitamins and minerals: calcium carbonate, iron and zinc (mineral nutrients), vitamin c (sodium ascorbate), a b vitamin (niacinamide), vitamin b6 (pyridoxine hydrochloride), v",0.75,Cheerios,Cheerios,Breakfast Cereal,vegetarian,,false,success
16000487925,Chex cereal honey nut gluten free,"General Mills,Chex","Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, extruded cereals","whole grain corn, corn meal,sugar, corn starch, honey,salt, molasses, canola oil, baking soda, natural flavor, natural almond flavor, vitamin e (mixed tocopherols) added to preserve freshness, vitamins and minerals: calcium carbonate, zinc and iron (mineral nutrients), vitamin c (sodium ascorbate), ",0.7875,Honey Nut Chex Cereal,General Mills,Breakfast Cereal,gluten-free,tree nuts,false,success
38000138416,Original,Pringles,"Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Botanas,Cereales y patatas,Snacks salados,Aperitivos,en:Chips and fries,Chips fritos,en:Potatoes and their products,Chips de patatas fritas,Chips de patatas fritas en aceite de girasol,Chips de patatas fritas onduladas","DRIED POTATOES, VEGETABLE OIL (CORN, COTTONSEED, HIGH OLEIC SOYBEAN, SUNFLOWER OIL), DEGERMINATED YELLOW CORN FLOUR, CORNSTARCH, RICE FLOUR, MALTODEXTRIN, MONO -  AND DIGLYCERIDES, SALT, WHEAT STARCH.",0.9875,Original,Pringles,Snack,,"wheat, soy",false,success
44000032159,Bits cheese cracker sandwiches go-pak,"Ritz, Nabisco","Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits","Unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate {vitamin b1}, riboflavin {vitamin b2}, folic acid), canola oil, palm oil, sugar, whey, leavening (baking soda and/or calcium phosphate), cheddar cheese powder (pasteurized milk, cheese cultures, salt, enzymes), salt, ",0.5875,Ritz Bits Cheese Cracker Sandwiches,Nabisco,Snack,,"milk, wheat",false,success
49000006346,Coca cola can cokes LG,Coca cola,nan,"carbonated water, high fructose corn syrup, caramel color, phosphoric acid, natural flavors, caffeine",0.5625,Coca Cola,Coca Cola,Beverage,,,false,success
9800895007,Hazelnut Spread with Cocoa,Nutella,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Fats, Spreads, Sweet spreads, Vegetable fats, fr:Pâtes à tartiner, Hazelnut spreads, Chocolate spreads, Cocoa and hazelnuts spreads","sugar, palm oil, hazelnuts, skim milk, cocoa, lecithin as emulsifier (soy), vanillin: an artificial flavor,",0.8,Hazelnut Spread with Cocoa,Nutella,Condiment,vegetarian,"milk, soy, tree nuts",false,success
21000658831,mac & cheese,Kraft,"Meals,Pasta dishes,Pastas,Macaroni and cheese","ENRICHED MACARONI (WHEAT FLOUR, DURUM FLOUR, NIACIN, FERROUS SULFATE [IRON], THIAMIN MONONITRATE [VITAMIN B1], RIBOFLAVIN [VITAMIN B2], FOLIC ACID), CHEESE SAUCE MIX (WHEY, MILKFAT, SALT, MILK PROTEIN CONCENTRATE, SODIUM TRIPHOSPHATE, TAPIOCA FLOUR, CITRIC ACID, CALCIUM PHOSPHATE, SODIUM PHOSPHATE, ",1.0,Mac and Cheese,Kraft,Pasta,,"milk, wheat",false,success
8076809513753,PESTO alla Genovese,Barilla,"Condiments,Sauces,Sauces pour pâtes,Sauces Pesto,en:Cooking Sauces,Pestos au basilic","sunflower oil, fresh basil 30%, cashew nuts, parmigiano reggiano pdo cheese 5%, (milk), maize fibre, whey powder (milk), salt, milk protein, extra virgin olive oil, sugar, basil extract, natural flavourings (milk), acidity regulator: lactic acid, garlic",0.9,Pesto alla Genovese,Barilla,Condiment,,"milk, tree nuts",false,success
5060292302201,potato snacks,popchips,Puffed salty snacks made from potato,"Dried Potato, Rice Flour, Sunflower Oil, Barbeque Flavour [Sugar, Dried Yeast, Potassium Chloride, Dried Onion, Natural Flavourings, Dried Garlic, Ground Spices (Smoked Paprika, Red Chilli Pepper), Salt, Dried Tomato, Dextrose, Acid: Citric Acid, Smoked Sea Salt, Colour: Paprika Extract, Antioxidant",0.9,Potato Snacks,Popchips,Snack,vegetarian,,false,success
30000169018,LIGHTLY SALTED RICE CAKES,QUAKER,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Puffed cereal cakes,Puffed rice cakes,Rice-cakes","Whole grain brown rice, salt",0.6875,Lightly Salted Rice Cakes,Quaker,Snack,"vegan, vegetarian, gluten-free",,false,success
30000436073,"Simply Granola Oats, Honey, Raisins & Almonds",Quaker,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Mueslis","Whole grain oats, whole grain wheat, sugar, raisins, vegetable oil (canola and/or soybean oil), whey, inulin, almonds, nonfat dry milk, glycerin, molasses, whey protein concentrate, honey, natural flavor, sunflower oil, tocopherols (to preserve freshness)",0.8,"Granola Oats with Honey, Raisins, and Almonds",Quaker,Breakfast Cereal,vegetarian,"milk, wheat, tree nuts, soy",false,success
30000169476,Chocolate Rice Cakes,Quaker,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Puffed cereal cakes,Puffed rice cakes,Rice-cakes","Whole grain brown rice, sugar, fructose, milk chocolate chips (sugar, chocolate liquor, dry whole milk, cocoa butter, soy lecithin, vanilla extract), corn maltodextrin, cocoa, natural flavor, vegetable oil (canola and/or sunflower oil), salt, soy lecithin, tocopherols (to preserve freshness)",0.7875,Chocolate Rice Cakes,Quaker,Snack,vegetarian,"milk, soy",false,success
30000169001,Apple Cinnamon Rice Cakes,Quaker,"Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Cereals and their products,Puffed cereal cakes,Puffed rice cakes","whole grain brown rice, sugar, fructose, maltodextrin, natural flavor, cinnamon, soy lecithin,",0.6875,Apple Cinnamon Rice Cakes,Quaker,Snack,vegetarian,soy,false,success
30000169100,CARAMEL RICE CAKES,QUAKER,"Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Cereals and their products,Puffed cereal cakes,Puffed rice cakes","whole grain brown rice, degerminated milled corn, sugar, fructose, maltodextrin, natural flavor, salt, soy lecithin. contains soy ingredients.",0.6875,Caramel Rice Cakes,Quaker,Snack,vegetarian,soy,false,success
1201303,Pepsi,Pepsi,"Bebidas y preparaciones de bebidas,Bebidas,Bebidas carbonatadas,Sodas,Bebidas no alcohólicas,Bebidas de cola,Cola con azúcar,Bebidas con sabor,Bebidas azucaradas","CARBONATED WATER, HIGH FRUCTOSE CORN SYRUP, CARAMEL COLOR, SUGAR, PHOSPHORIC ACID, CAFFEINE, CITRIC ACID, NATURAL FLAVOR.",1.0,Pepsi,Pepsi,Beverage,,,false,success
1212901,Pepsi,Pepsi,"Beverages, Carbonated drinks, Sodas, Colas, Sweetened beverages","carbonated water, high fructose corn syrup, caramel color, sugar, % phosphoric acid, caffeine, citric acid, natural flavor,",0.6875,Pepsi,Pepsi,Beverage,,,false,success
1280504,Diet Pepsi,Pepsi,"Beverages,Carbonated drinks,Artificially sweetened beverages,Sodas,Diet beverages,Colas,Diet sodas,Diet cola soft drink","CARBONATED WATER, CARAMEL COLOR, ASPARTAME PHOSPHORIC ACID, POTASSIUM BENZOATE (PRESERVES FRESHNESS), CAFFEINE, CITRIC ACID, NATURAL FLAVOR ACESULFAME POTASSIUM. PHENYLKETONURICS: CONTAINS PHENYLALANINE BOTTLED UNDER THE AUTHORITY OF PEPSICO, INC., 00277-101-00-16 PURCHASE, NY 10577. LUORIES CAFFEIN",0.675,Diet Pepsi,Pepsi,Beverage,"sugar-free, artificially sweetened",,false,success
12000171741,Diet Pepsi,Pepsi,"Beverages, Carbonated drinks, Artificially sweetened beverages, Sodas, Diet beverages, Colas, Diet sodas, en:diet-cola-soft-drink","Carbonated water, caramel color, aspartame, phosphoric acid, potassium benzoate, caffeine, citric acid, natural flavor, acesulfame potassium",0.7875,Diet Pepsi,Pepsi,Beverage,"sugar-free, low-sodium",,false,success
6111252421582,اكوافينا,pepsi,"Eaux,Eaux de table",Aqua,0.6625,Aquafina,Pepsi,Beverage,"gluten-free, vegan, vegetarian, dairy-free, nut-free, sugar-free, low-sodium",,false,success
3400704,Ice Breakers Cool Mint,Hershey,"Snacks, Sweet snacks, Confectioneries, Candies","sorbitol, maltitol, maltodextrin, contains 2% or less of natural flavor and artificial flavor gun acacia aspartame, magnesium stearate",0.6875,Ice Breakers Cool Mint,Hershey,Candy,sugar-free,,false,success
