query,product_id,product_title,product_description,product_brand,esci_label,product_locale
 revent 80 cfm,B000MOO21W,Panasonic FV-20VQ3 WhisperCeiling 190 CFM Ceiling Mounted Fan,None,Panasonic,Irrelevant,us
bathroom fan without light,B000MOO21W,Panasonic FV-20VQ3 WhisperCeiling 190 CFM Ceiling Mounted Fan,None,Panasonic,Exact,us
 revent 80 cfm,B07X3Y6B1V,"Homewerks 7141-80 Bathroom Fan Integrated LED Light Ceiling Mount Exhaust Ventilation, 1.1 Sones, 80 CFM",None,Homewerks,Exact,us
 revent 80 cfm,B07WDM7MQQ,"Homewerks 7140-80 Bathroom Fan Ceiling Mount Exhaust Ventilation, 1.5 Sones, 80 CFM, White",None,Homewerks,Exact,us
 revent 80 cfm,B07RH6Z8KW,Delta Electronics RAD80L BreezRadiance 80 CFM Heater/Fan/Light Combo White (Renewed),"This pre-owned or refurbished product has been professionally inspected and tested to work and look like new. How a product becomes part of Amazon Renewed, your destination for pre-owned, refurbished products: A customer buys a new product and returns it or trades it in for a newer or different model. That product is inspected and tested to work and look like new by Amazon-qualified suppliers. Then, the product is sold as an Amazon Renewed product on Amazon. If not satisfied with the purchase, r",DELTA ELECTRONICS (AMERICAS) LTD.,Exact,us
 revent 80 cfm,B07QJ7WYFQ,Panasonic FV-08VRE2 Ventilation Fan with Recessed LED (Renewed),None,Panasonic,Exact,us
 revent 80 cfm,B076Q7V5WX,"Panasonic FV-0511VQ1 WhisperCeiling DC Ventilation Fan, Speed Selector, SmartFlow Technology, Quiet,White",None,Panasonic,Exact,us
12 inch bathroomwall mounted fan,B076Q7V5WX,"Panasonic FV-0511VQ1 WhisperCeiling DC Ventilation Fan, Speed Selector, SmartFlow Technology, Quiet,White",None,Panasonic,Irrelevant,us
bathroom fan,B076Q7V5WX,"Panasonic FV-0511VQ1 WhisperCeiling DC Ventilation Fan, Speed Selector, SmartFlow Technology, Quiet,White",None,Panasonic,Substitute,us
bathroom fan without light,B076Q7V5WX,"Panasonic FV-0511VQ1 WhisperCeiling DC Ventilation Fan, Speed Selector, SmartFlow Technology, Quiet,White",None,Panasonic,Exact,us
fv relay,B076Q7V5WX,"Panasonic FV-0511VQ1 WhisperCeiling DC Ventilation Fan, Speed Selector, SmartFlow Technology, Quiet,White",None,Panasonic,Irrelevant,us
 revent 80 cfm,B075ZBF9HG,"Panasonic FV-0510VSL1 WhisperValue DC Ventilation Fan with Light, 50-80-100 CFM",None,Panasonic,Exact,us
bathroom fan without light,B075ZBF9HG,"Panasonic FV-0510VSL1 WhisperValue DC Ventilation Fan with Light, 50-80-100 CFM",None,Panasonic,Irrelevant,us
fv relay,B075ZBF9HG,"Panasonic FV-0510VSL1 WhisperValue DC Ventilation Fan with Light, 50-80-100 CFM",None,Panasonic,Irrelevant,us
 revent 80 cfm,B06W2LB17J,"Panasonic FV-0510VS1 WhisperValue DC Ventilation Fan, 50-80-100 CFM",None,Panasonic,Exact,us
bathroom fan,B06W2LB17J,"Panasonic FV-0510VS1 WhisperValue DC Ventilation Fan, 50-80-100 CFM",None,Panasonic,Substitute,us
fv relay,B06W2LB17J,"Panasonic FV-0510VS1 WhisperValue DC Ventilation Fan, 50-80-100 CFM",None,Panasonic,Irrelevant,us
 revent 80 cfm,B07JY1PQNT,"Aero Pure ABF80 L5 W ABF80L5 Ceiling Mount 80 CFM w/LED Light/Nightlight, Energy Star Certified, White Quiet Bathroom Ventilation Fan",None,Aero Pure,Exact,us
 revent 80 cfm,B01MZIK0PI,"Delta Electronics (Americas) Ltd. RAD80 Delta BreezRadiance Series 80 CFM Fan with Heater, 10.5W, 1.5 Sones",None,DELTA ELECTRONICS (AMERICAS) LTD.,Exact,us
 revent 80 cfm,B011RX6PNO,"Aero Pure AP120H-SL W Slim Fit 120 CFM Bathroom Fan with LED Light and Humidity Sensor, White Finish",None,Aero Pure,Irrelevant,us
 revent 80 cfm,B00XBZFWWM,"Panasonic FV-0811VF5 WhisperFit EZ Retrofit Ventilation Fan, 80 or 110 CFM",None,Panasonic,Exact,us
bathroom fan,B00XBZFWWM,"Panasonic FV-0811VF5 WhisperFit EZ Retrofit Ventilation Fan, 80 or 110 CFM",None,Panasonic,Exact,us
bathroom fan without light,B00XBZFWWM,"Panasonic FV-0811VF5 WhisperFit EZ Retrofit Ventilation Fan, 80 or 110 CFM",None,Panasonic,Exact,us
fv relay,B00XBZFWWM,"Panasonic FV-0811VF5 WhisperFit EZ Retrofit Ventilation Fan, 80 or 110 CFM",None,Panasonic,Irrelevant,us
heat recovery ventilator,B00XBZFWWM,"Panasonic FV-0811VF5 WhisperFit EZ Retrofit Ventilation Fan, 80 or 110 CFM",None,Panasonic,Complement,us
quiet bathroom exhaust fan drop ceiling,B00XBZFWWM,"Panasonic FV-0811VF5 WhisperFit EZ Retrofit Ventilation Fan, 80 or 110 CFM",None,Panasonic,Exact,us
 revent 80 cfm,B00MARNO5Y,Aero Pure AP80RVLW Super Quiet 80 CFM Recessed Fan/Light Bathroom Ventilation Fan with White Trim Ring,None,Aero Pure,Exact,us
 revent 80 cfm,B003O0MNGC,Delta BreezSignature VFB25ACH 80 CFM Exhaust Bath Fan with Humidity Sensor,None,DELTA ELECTRONICS (AMERICAS) LTD.,Exact,us
 revent 80 cfm,B001E6DMKY,"Broan Very Quiet Ceiling Bathroom Exhaust Fan, ENERGY STAR Certified, 0.3 Sones, 80 CFM",None,Broan-NuTone,Exact,us
bathroom fan without light,B001E6DMKY,"Broan Very Quiet Ceiling Bathroom Exhaust Fan, ENERGY STAR Certified, 0.3 Sones, 80 CFM",None,Broan-NuTone,Exact,us
broan replacement parts,B001E6DMKY,"Broan Very Quiet Ceiling Bathroom Exhaust Fan, ENERGY STAR Certified, 0.3 Sones, 80 CFM",None,Broan-NuTone,Irrelevant,us
quiet bathroom exhaust fan drop ceiling,B001E6DMKY,"Broan Very Quiet Ceiling Bathroom Exhaust Fan, ENERGY STAR Certified, 0.3 Sones, 80 CFM",None,Broan-NuTone,Exact,us
 revent 80 cfm,B01N5Y6002,"Delta Electronics (Americas) Ltd. GBR80HLED Delta BreezGreenBuilder Series 80 CFM Fan/Dimmable H, LED Light, Dual Speed & Humidity Sensor",None,DELTA ELECTRONICS (AMERICAS) LTD.,Exact,us
!awnmower tires without rims,B075SCHMPY,"RamPro 10"" All Purpose Utility Air Tires/Wheels with a 5/8"" Diameter Hole with Double Sealed Bearings (Pack of 2)","<b>About The Ram-Pro All Purpose Utility 10"" Air Tires Wheels Pack of 2.</b></p> <b>The Problem:</b><br> Your handtrucks tires are flat but why should you spend so much money to buy a compete new handtruck?</p> <b>Our Solution:</b><br> The Ram-Pro All Purpose 10"" Air Tires Wheels that will replace and fit your hand truck old tires properly with very easy installations and will be even better and more comfortable than the originals.</p> <b>Double Sealed Bearings:</b><br> The Double Bearings will ",RamPro,Irrelevant,us
!awnmower tires without rims,B08L3B9B9P,"MaxAuto 2-Pack 13x5.00-6 2PLY Turf Mower Tractor Tire with Yellow Rim, (3"" Centered Hub, 3/4"" Bushings )","MaxAuto 2-Pack 13x5.00-6 2PLY Turf Mower Tractor Tire with Yellow Rim, 3"" Centered Hub, 3/4"" Bearings<br>",MaxAuto,Exact,us
ztr mower lift,B08L3B9B9P,"MaxAuto 2-Pack 13x5.00-6 2PLY Turf Mower Tractor Tire with Yellow Rim, (3"" Centered Hub, 3/4"" Bushings )","MaxAuto 2-Pack 13x5.00-6 2PLY Turf Mower Tractor Tire with Yellow Rim, 3"" Centered Hub, 3/4"" Bearings<br>",MaxAuto,Irrelevant,us
!awnmower tires without rims,B082K7V2GZ,"NEIKO 20601A 14.5 inch Steel Tire Spoon Lever Iron Tool Kit | Professional Tire Changing Tool for Motorcycle, Dirt Bike, Lawn Mower | 3 pcs Tire Spoons | 3 Rim Protector | Valve Tool | 6 Valve Cores",None,Neiko,Irrelevant,us
!awnmower tires without rims,B07P4CF3DP,2PK 13x5.00-6 13x5.00x6 13x5x6 13x5-6 2PLY Turf Mower Tractor Tire with Gray Rim,"Tire Size: 13 x 5.00 - 6 Axle: 3/4"" inside diameter Hub Length: 3"" Offset hub *Please make sure wheel size(axle, hub, offset) is same as item replacing. Just because tire size is the same, does not mean it will work. Shipping is costly to return and usually not worth returning!*",Russo,Substitute,us
!awnmower tires without rims,B07C1WZG12,"(Set of 2) 15x6.00-6 Husqvarna/Poulan Tire Wheel Assy .75"" Bearing",No fuss. Just take off your old assembly and replace with this. No need for tubes or tire shops. No messing around with mounting these yourself. Perfect replacement for your machine. Will make your machine look and feel new. **** .75 precision ball bearings ****.,Antego Tire & Wheel,Exact,us
!awnmower tires without rims,B077QMNXTS,"MaxAuto 2 Pcs 16x6.50-8 Lawn Mower Tire for Garden Tractors Ridings, 4PR, Tubeless","<br>Tire Specifications:<br> 1. Material: Rubber<br> 2. Tire Size: 16X6.50-8<br> 3. Load Range: Max. 620lbs@28psi<br> 4. Tire Type: Tubeless<br> 5. Rim Width: 5.375""<br> 6. SW: 165mm / 6.50""<br> 7. OD: 410mm / 16.14""<br> 8. Rating: 4 PLY<br> 9. Tread Depth: 7.1mm/ 0.28""<br> 10. Pattern: P332<br> <br>Feature:<br> 1. Tires ONLY, rims not included<br> 2. Easy to install and easy to use<br> 3. Act as a spare or replacement of the broken one<br> 4. A perfect combination of premium rubber material and",MaxAuto,Exact,us
