recall_number,product_description,reason_for_recall,recalling_firm,classification,status,voluntary_mandated,distribution_pattern,code_info,city,state,country,recall_initiation_date,report_date
F-0276-2017,"CytoDetox, Hydrolyzed Clinoptilolite Fragments, 1 oz./30 mL, OTC Non-Sterile.  Dietary supplement.",Recall initiated as a precautionary measure due to potential risk of product contamination with Burkholderia cepacia.,Pharmatech LLC,Class II,Terminated,Voluntary: Firm initiated,"FL, MI, MS, and OH.","UPC No. 632687615989; Lot No. 30661601, Exp. Date 05/2018.",Davie,FL,United States,20160808,20161102
F-0865-2017,"Koi Palace Mini Moon Cake: Single Box - Mini Oolong Tea Paste  Unit Size 1/2 lb. and 1/4 lb. in circular box (1 piece) and rectangular boxes (4, 6 or 8 pieces).","Mooncake products, manufactured and distributed by Magic Gourmet Trading, Inc. of Milbrae, CA did not have adequate product labeling, including ingredient statements and allergen declaration. Undeclared ingredients include wheat, peanut oil.",Magic Gourmet Trading Inc,Class II,Terminated,Voluntary: Firm initiated,"CA, WA, OR.","FG-M1MOT-UW  Best by Nov 1, 2016.",Millbrae,CA,United States,20160831,20170118
F-0609-2015,Crema GuateLinda (Guatemalan Style Cream) in individually soft poly/plastic bags labeled in part: Lacteos Santa Martha Crema GuateLinda Guatemalan Style Cream Net WT 1 LB (16 oz),"Virginia State (VDACS) found Listeria monocytogenes in Lacteos Santa Martha Quesito Casero Fresh Curd (Best by 9/27/14), FDA made an inspection, were the environmental samples collected came up positive also for Listeria monocytogenes, also the Oasis Brands Inc. sent finish products samples to a private lab, the Lacteos Santa Martha Cuajada en Hoja Queso Casero Hecho a Mano Fresh Curd (Best By dates of 10/18/14 and 11/25/14) came also positive for Listeria monocytogenes.  Oasis Brands Inc.  is voluntarily recalling ALL their Lacteos Santa Martha brand products manufactured that are within expiration date.","Oasis Brands, Inc",Class I,Terminated,Voluntary: Firm initiated,"FL, GA. NC, and TN",UPC 635349 000390  Best By dates: 07/01/14 thru 12/31/14,Miami,FL,United States,20141010,20141210
F-1922-2012,"Yellow Onion.  Product is labeled in part:  ""***FC Salsa Mango""***Refrigerate at 34 F***""      Item #   302940 FC SALSA MANGO 2/5#.        Product is fresh made - Ready To Eat.","FreshPoint South Florida is recalling sliced fresh yellow onions and salsa products processed using yellow onions sourced from Gills Onions, LLC which were recalled for Listeria monocytogenes.",FreshPoint South Florida,Class I,Terminated,Voluntary: Firm initiated,Products were distributed in South Florida.,Item #   302940.,Pompano Beach,FL,United States,20120727,20120815
F-0904-2020,"Pure Planet Organic Parasite Cleanse;  Net Wt. 174g Glass Jar;  Finished Product Item # 52700    Manufactured and Distributed by:  Pure Planet,  Rancho Dominguez, CA",Firm was notified by supplier that Organic Ground Flaxseed powder was under recall by manufacturer due to unapproved herbicide - Haloxyfop,"Organic By Nature, Inc.",Class III,Terminated,Voluntary: Firm initiated,"nationwide, Canada and Netherlands",Lot codes: 72746,Rancho Dominguez,CA,United States,20200224,20200401
F-1578-2018,"Coffee Toffee - 4 oz. packages. UPC 6 55974 89001 2.    The label is read in parts: ""***Ingredients: butter (milk), sugar, bittersweet chocolate 60% (cocoa liquor, emulsifier, soya lecithin, vanilla), coffee, pecans *** Contains: milk & soya ***"".",Coffee Toffee is recalled because pecan is listed on the Ingredients statement but it is not listed in the Contains statement.,Yukon Jackson,Class III,Terminated,Voluntary: Firm initiated,distributed in WA,no codes,Seattle,WA,United States,20180525,20180620
F-0921-2020,"XinXing Dried Plum, Net Wt. 5.3 oz.(150g)","Product contains dried peaches, but front labeling of product stated dried plums",Rong Shing Trading NY Inc,Class III,Terminated,Voluntary: Firm initiated,Unknown,UPC CODE: 6868978724496  BEST BEFORE: 11/15/2021,Brooklyn,NY,United States,20200401,20200506
F-2326-2017,"Honey Bourbon Pecans Net Wt. 20 lb. (9.088g) Mfg. By: Trophy Nut Co. Tipp City, OH 45371",The firm stated that the product contains undeclared allergens.,Trophy Nut Co Inc,Class II,Terminated,Voluntary: Firm initiated,Product was sent to one manufacturer in MI,"Product #29973B  Code Dates: 10/20/2016, 11/8/2016, 11/9/2016 & 01/12/2017.",Tipp City,OH,United States,20170505,20170614
F-0777-2015,"Gourmet Mix Fruit Delight Net Wt. 64 oz. (1814g) Best If Enjoyed By: 12/03/14, Dist. By: Wegmans Food Markets, Inc., Rochester, NY 14603 UPC 077890241516",Possible contamination with Listeria monocytogenes.,"Del Monte Fresh Produce NA, Inc",Class I,Terminated,Voluntary: Firm initiated,"NJ, NY, OH, PA, RI, VA",Lot 02332101,Jessup,MD,United States,20141209,20150121
F-0757-2022,Marketside 12oz Classic Salad  UPC:6-81131-32894-4  SKU: 3107,Harvest equipment used in harvesting raw iceberg lettuce was tested by  Dole and found to contain Listeria monocytogenes.,Dole Fresh Vegetables Inc,Class I,Terminated,Voluntary: Firm initiated,"Canada: AB, BC, NB, ON, QC, Sk; United States: AL, AZ, CA, CO, CT, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, ND, NE, NV, NY, OH, OK, OR, PA, SC, TN, TX, UT, VA, WA, WI","Product codes beginning with B - Best by Dates of December 23, 2021 through January 8, 2022.",Monterey,CA,United States,20220106,20220302
