status,city,state,country,classification,product_type,event_id,recalling_firm,address_1,address_2,postal_code,voluntary_mandated,initial_firm_notification,distribution_pattern,recall_number,product_description,product_quantity,reason_for_recall,recall_initiation_date,center_classification_date,termination_date,report_date,code_info,more_code_info
Terminated,Davie,FL,United States,Class II,Food,75272,Pharmatech LLC,4131 SW 47th Ave Ste 1403,,33314-4036,Voluntary: Firm initiated,Letter,"FL, MI, MS, and OH.",F-0276-2017,"CytoDetox, Hydrolyzed Clinoptilolite Fragments, 1 oz./30 mL, OTC Non-Sterile.  Dietary supplement.","1,990 bottles",Recall initiated as a precautionary measure due to potential risk of product contamination with Burkholderia cepacia.,20160808,20161025,20240923,20161102,"UPC No. 632687615989; Lot No. 30661601, Exp. Date 05/2018.",
Terminated,Millbrae,CA,United States,Class II,Food,75069,Magic Gourmet Trading Inc,375 Adrian Rd,,94030-3104,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","CA, WA, OR.",F-0865-2017,"Koi Palace Mini Moon Cake: Single Box - Mini Oolong Tea Paste  Unit Size 1/2 lb. and 1/4 lb. in circular box (1 piece) and rectangular boxes (4, 6 or 8 pieces).","2 cases (1 pc/bx, 48bx/cs)","Mooncake products, manufactured and distributed by Magic Gourmet Trading, Inc. of Milbrae, CA did not have adequate product labeling, including ingredient statements and allergen declaration. Undeclared ingredients include wheat, peanut oil.",20160831,20170106,20170111,20170118,"FG-M1MOT-UW  Best by Nov 1, 2016.",
Terminated,Miami,FL,United States,Class I,Food,69516,"Oasis Brands, Inc",13439 NW 19 LANE,N/A,33182,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","FL, GA. NC, and TN",F-0609-2015,Crema GuateLinda (Guatemalan Style Cream) in individually soft poly/plastic bags labeled in part: Lacteos Santa Martha Crema GuateLinda Guatemalan Style Cream Net WT 1 LB (16 oz),144 pieces,"Virginia State (VDACS) found Listeria monocytogenes in Lacteos Santa Martha Quesito Casero Fresh Curd (Best by 9/27/14), FDA made an inspection, were the environmental samples collected came up positive also for Listeria monocytogenes, also the Oasis Brands Inc. sent finish products samples to a private lab, the Lacteos Santa Martha Cuajada en Hoja Queso Casero Hecho a Mano Fresh Curd (Best By dates of 10/18/14 and 11/25/14) came also positive for Listeria monocytogenes.  Oasis Brands Inc.  is voluntarily recalling ALL their Lacteos Santa Martha brand products manufactured that are within expiration date.",20141010,20141202,20170328,20141210,UPC 635349 000390  Best By dates: 07/01/14 thru 12/31/14,
Terminated,Pompano Beach,FL,United States,Class I,Food,62750,FreshPoint South Florida,2300 NW 19th St,,33069-5227,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Products were distributed in South Florida.,F-1922-2012,"Yellow Onion.  Product is labeled in part:  ""***FC Salsa Mango""***Refrigerate at 34 F***""      Item #   302940 FC SALSA MANGO 2/5#.        Product is fresh made - Ready To Eat.",7 cases,"FreshPoint South Florida is recalling sliced fresh yellow onions and salsa products processed using yellow onions sourced from Gills Onions, LLC which were recalled for Listeria monocytogenes.",20120727,20120808,20141008,20120815,Item #   302940.,
Terminated,Rancho Dominguez,CA,United States,Class III,Food,85253,"Organic By Nature, Inc.",2610 Homestead Pl,N/A,90220-5610,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","nationwide, Canada and Netherlands",F-0904-2020,"Pure Planet Organic Parasite Cleanse;  Net Wt. 174g Glass Jar;  Finished Product Item # 52700    Manufactured and Distributed by:  Pure Planet,  Rancho Dominguez, CA",xx,Firm was notified by supplier that Organic Ground Flaxseed powder was under recall by manufacturer due to unapproved herbicide - Haloxyfop,20200224,20200413,20210202,20200401,Lot codes: 72746,
Terminated,Seattle,WA,United States,Class III,Food,80233,Yukon Jackson,3429 Airport Way S,N/A,98134-2139,Voluntary: Firm initiated,Visit,distributed in WA,F-1578-2018,"Coffee Toffee - 4 oz. packages. UPC 6 55974 89001 2.    The label is read in parts: ""***Ingredients: butter (milk), sugar, bittersweet chocolate 60% (cocoa liquor, emulsifier, soya lecithin, vanilla), coffee, pecans *** Contains: milk & soya ***"".",24 packages,Coffee Toffee is recalled because pecan is listed on the Ingredients statement but it is not listed in the Contains statement.,20180525,20180614,20180625,20180620,no codes,
Terminated,Brooklyn,NY,United States,Class III,Food,85364,Rong Shing Trading NY Inc,47 Bridgewater St # 57,N/A,11222-3820,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Unknown,F-0921-2020,"XinXing Dried Plum, Net Wt. 5.3 oz.(150g)",unknown,"Product contains dried peaches, but front labeling of product stated dried plums",20200401,20200424,20210318,20200506,UPC CODE: 6868978724496  BEST BEFORE: 11/15/2021,
Terminated,Tipp City,OH,United States,Class II,Food,77213,Trophy Nut Co Inc,320 N 2nd St,N/A,45371,Voluntary: Firm initiated,Letter,Product was sent to one manufacturer in MI,F-2326-2017,"Honey Bourbon Pecans Net Wt. 20 lb. (9.088g) Mfg. By: Trophy Nut Co. Tipp City, OH 45371",480/20 ib cases,The firm stated that the product contains undeclared allergens.,20170505,20170605,20180213,20170614,"Product #29973B  Code Dates: 10/20/2016, 11/8/2016, 11/9/2016 & 01/12/2017.",
Terminated,Jessup,MD,United States,Class I,Food,69983,"Del Monte Fresh Produce NA, Inc",7971 Tarbay Dr,,20794-9416,Voluntary: Firm initiated,Press Release,"NJ, NY, OH, PA, RI, VA",F-0777-2015,"Gourmet Mix Fruit Delight Net Wt. 64 oz. (1814g) Best If Enjoyed By: 12/03/14, Dist. By: Wegmans Food Markets, Inc., Rochester, NY 14603 UPC 077890241516",128 units,Possible contamination with Listeria monocytogenes.,20141209,20150109,20150428,20150121,Lot 02332101,
Terminated,Monterey,CA,United States,Class I,Food,89381,Dole Fresh Vegetables Inc,2959 Salinas Hwy,,93940-6400,Voluntary: Firm initiated,Telephone,"Canada: AB, BC, NB, ON, QC, Sk; United States: AL, AZ, CA, CO, CT, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, ND, NE, NV, NY, OH, OK, OR, PA, SC, TN, TX, UT, VA, WA, WI",F-0757-2022,Marketside 12oz Classic Salad  UPC:6-81131-32894-4  SKU: 3107,,Harvest equipment used in harvesting raw iceberg lettuce was tested by  Dole and found to contain Listeria monocytogenes.,20220106,20220222,20220322,20220302,"Product codes beginning with B - Best by Dates of December 23, 2021 through January 8, 2022.",
