barcode,product_name,brands,categories,ingredients_text,quantity,nutrition_grades,nutriscore_score,nova_group,ecoscore_grade,image_url,allergens,labels,stores,countries,completeness,last_modified_t
0016000275287,Cheerios,Cheerios,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals","Whole grain oats, corn starch, sugar, salt, tripotassium phosphate, vitamin e (mixed tocopherols) added to preserve freshness,vitamins and minerals: calcium carbonate, iron and zinc (mineral nutrients), vitamin c (sodium ascorbate), a b vitamin (niacinamide), vitamin b6 (pyridoxine hydrochloride), vitamin a (palmitate), vitamin b1 (thiamin mononitrate), a b vitamin (folic acid), vitamin b12, vitamin d3",18 oz (510 g),c,8,,c,https://images.openfoodfacts.org/images/products/001/600/027/5287/front_en.8.400.jpg,"en:gluten,en:Corn","Kosher, en:Orthodox Union Kosher, en:vitamin-b12-source",Safeway,United States,0.75,1772637584
0016000487925,Chex cereal honey nut gluten free,"General Mills,Chex","Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, extruded cereals","whole grain corn, corn meal,sugar, corn starch, honey,salt, molasses, canola oil, baking soda, natural flavor, natural almond flavor, vitamin e (mixed tocopherols) added to preserve freshness, vitamins and minerals: calcium carbonate, zinc and iron (mineral nutrients), vitamin c (sodium ascorbate), a b vitamin (niacinamide), vitamin be (pyridoxine hydrochloride), vitamin b1 (thiamin mononitrate), vitamin a (palmitate), vitamin b2 (riboflavin), a b vitamin (folic acid), vitamin b12, vitamin d3, contains almond ingredients",1,unknown,,4,c,https://images.openfoodfacts.org/images/products/001/600/048/7925/front_en.19.400.jpg,,No gluten,,United States,0.7875,1772637557
0044000032159,Bits cheese cracker sandwiches go-pak,"Ritz, Nabisco","Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits","Unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate {vitamin b1}, riboflavin {vitamin b2}, folic acid), canola oil, palm oil, sugar, whey, leavening (baking soda and/or calcium phosphate), cheddar cheese powder (pasteurized milk, cheese cultures, salt, enzymes), salt, sodium phosphate, natural flavor, soy lecithin, yeast extract, cornstarch, turmeric and annatto extracts (for color). peanut.",,unknown,,4,d,https://images.openfoodfacts.org/images/products/004/400/003/2159/front_fr.13.400.jpg,"en:gluten,en:milk,en:peanuts",Arômes naturels,,"en:GP, United States",0.5875,1686527335
0044000031022,Nabisco oreo cookies cookies 'n creme 1x15.25 oz,,"Snacks, Sweet snacks, Biscuits and cakes, Biscuits","Sugar, unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate {vitamin b1}, riboflavin {vitamin b2}, folic acid), palm and/or canola oil, cocoa (processed with alkali), high fructose corn syrup, cornstarch, leavening (baking soda and/or calcium phosphate), salt, soy lecithin, vanillin - an artificial flavor, chocolate.",,e,29,4,d,,en:gluten,,,United States,0.4,1587663090
0049000042566,Coca-Cola Zero Sugar,Coca-Cola,"Bebidas, Bebidas gaseosas, Refrescos, Refrescos de cola","Carbonated water, caramel color, phosphoric acid, aspartame, potassium benzoate (to protect taste), natural flavors, potassium citrate, acesulfame potassium, caffeine.",355 ml,a,0,4,unknown,https://images.openfoodfacts.org/images/products/004/900/004/2566/front_en.108.400.jpg,,"Low Sodium, Natural flavors",CU,United States,0.775,1773794677
0049000028911,Diet Coke Soft Drink,Coke,"Beverages and beverages preparations,Beverages,Carbonated drinks,Artificially sweetened beverages,Sodas,Diet beverages","CARBONATED WATER, CARAMEL COLOR, ASPARTAME acts PHOSPHORIC ACID, POTASSIUM BENZOATE (TO PROTECT TASTE), NATURAL FLAVORS, CITRIC ACID, CAFFEINE",144 fl oz,b,0,4,not-applicable,https://images.openfoodfacts.org/images/products/004/900/002/8911/front_en.24.400.jpg,,,"ShopRite,Stop & Shop",United States,0.6875,1772125079
0028400064057,Tostitos Bite Size Tortilla Chips 13 Ounce Plastic Bag,,"Snacks, Salty snacks, Appetizers, Chips and fries, Crisps, Corn chips","corn, vegetable oil (corn, canola, and/or sunflower oil), and salt,",,d,13,3,b,,,,,united-states,0.4625,1673356490
0009800895007,Hazelnut Spread with Cocoa,Nutella,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Fats, Spreads, Sweet spreads, Vegetable fats, fr:Pâtes à tartiner, Hazelnut spreads, Chocolate spreads, Cocoa and hazelnuts spreads","sugar, palm oil, hazelnuts, skim milk, cocoa, lecithin as emulsifier (soy), vanillin: an artificial flavor,",13oz,e,23,4,e,https://images.openfoodfacts.org/images/products/000/980/089/5007/front_en.77.400.jpg,"en:milk,en:nuts,en:soybeans",No gluten,"7eleven,CTown Supermarkets","United States, Germany",0.8,1774630243
0009800800124,12 Pack Hazelnut Spread + Breadsticks,Nutella Ferrero,null,"SUGAR, PALM OIL, HAZELNUTS, COCOA, SKIM MILK, WHEY (MILK), LECITHIN AS EMULSIFIER (SOY), VANILLIN: AN ARTIFICIAL FLAVOR. BREADSTICKS: WHEAT FLOUR, PALM OIL, SALT, MALT EXTRACT, BAKER'S YEAST.",52 g,e,32,4,unknown,,"en:milk,en:soybeans",,,United States,0.6,1740180341
0011110038364,Chicken tortilla soup dry soup mix,Simple Truth,,"organic rice, organic black beans, organic bell peppers, organic spices, organic corn, organic raw cane sugar, organic onion, potassium chloride, salt, organic tomato, organic paprika, organic corn masa flour, contains 2% or less of organic garlic, organic lime juice powder (organic maltodextrin, organic lime juice), organic yeast extract, citric acid,",,unknown,,4,unknown,https://images.openfoodfacts.org/images/products/001/111/003/8364/front_en.11.400.jpg,,"Organic, USDA Organic",,en:United States,0.4875,1689137817
