price_id,product_code,price,price_is_discounted,price_without_discount,currency,date,receipt_quantity,product_name,product_brands,product_categories,product_nutriscore,product_image_url,store_name,store_city,store_country,store_lat,store_lon,created
1,1541513213246,27.7,False,,EUR,2023-11-27,,,,[],,,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:13.979801Z
2,1541513213253,27.7,False,,EUR,2023-11-27,,,,[],,,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:15.342832Z
3,1541513213260,26.38,False,,EUR,2023-11-27,,,,[],,,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:16.613932Z
4,1541513213277,39.57,False,,EUR,2023-11-27,,,,[],,,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:17.886599Z
5,1541513213284,59.36,False,,EUR,2023-11-27,,,,[],,,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:19.167029Z
6,1541513213291,46.17,False,,EUR,2023-11-27,,,,[],,,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:20.348694Z
7,1541513213307,11.87,False,,EUR,2023-11-27,,,,[],,,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:21.527838Z
8,1541513213314,9.89,False,,EUR,2023-11-27,,,,[],,,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:22.700897Z
9,1541513213338,7.65,False,,EUR,2023-11-27,,,,[],,,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:23.928933Z
10,1541513213345,3.3,False,,EUR,2023-11-27,,,,[],,,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:25.114303Z
11,1541513213352,3.3,False,,EUR,2023-11-27,,,,[],,,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:26.429111Z
12,1541513213369,4.75,False,,EUR,2023-11-27,,,,[],,,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:27.649112Z
13,3019116017960,2.93,False,,EUR,2023-11-27,,,,[],,,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:28.828260Z
14,3019116017977,2.06,False,,EUR,2023-11-27,,,,[],,,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:30.019722Z
15,3022820420414,3.1,False,,EUR,2023-11-27,,Chou blanc lacto-fermenté bio,Nutriform,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:fruits-and-vegetables-based-foods', 'en:canned-foods', 'en:vegetables-based-foods', 'en:canned-plant-based-foods', 'en:meals', 'en:vegetables', 'en:canned-vegetables', 'en:fermented-vegetables', 'en:leaf-vegetables', 'en:cabbages', 'en:sauerkrauts', 'en:white-cabbage']",b,https://images.openfoodfacts.org/images/products/302/282/042/0414/front_fr.4.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:31.196017Z
16,3022820420711,3.43,False,,EUR,2023-11-27,,Betterave Lacto-fermentée BIO,Nutriform,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:fruits-and-vegetables-based-foods', 'en:vegetable-based-foods-and-beverages', 'en:canned-foods', 'en:vegetables-based-foods', 'en:canned-plant-based-foods', 'en:vegetables', 'en:canned-vegetables', 'en:beetroot', 'en:canned-beetroot', 'fr:legumes-lacto-fermentes']",c,https://images.openfoodfacts.org/images/products/302/282/042/0711/front_fr.10.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:32.366813Z
17,3109850018856,6.6,False,,EUR,2023-11-27,,Antésite réglisse anis étoilé,Antésite,['en:syrups'],unknown,https://images.openfoodfacts.org/images/products/310/985/001/8856/front_fr.7.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:33.537762Z
18,3109850018863,8.71,False,,EUR,2023-11-27,,Antesite,Antésite,"['en:beverages-and-beverages-preparations', 'en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-beverages', 'en:syrups']",e,https://images.openfoodfacts.org/images/products/310/985/001/8863/front_fr.20.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:35.330935Z
19,3115435156453,6.6,False,,EUR,2023-11-27,,,,[],,,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:36.561930Z
20,3154354352168,5.0,False,,EUR,2023-11-27,,,,[],,,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:37.747145Z
21,3176800001268,0.53,False,,EUR,2023-11-27,,Poudre à lever pour vos patisseries bio,"Nat Ali, Nature et Aliments","['en:food-additives', 'fr:poudres-a-lever']",not-applicable,https://images.openfoodfacts.org/images/products/317/680/000/1268/front_fr.50.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:38.918664Z
22,3176800001367,2.84,False,,EUR,2023-11-27,,Préparation gélifiante Confix'bio,Natali,"['en:food-additives', 'en:thickeners', 'en:gelling-agent-for-jam']",not-applicable,https://images.openfoodfacts.org/images/products/317/680/000/1367/front_fr.20.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:40.091354Z
23,3176800001602,3.94,False,,EUR,2023-11-27,,Ferments Pour Yaourt Bifidus,NAT-ALI,"['en:cooking-helpers', 'en:dessert-mixes', 'fr:preparations-pour-desserts-lactes']",a,https://images.openfoodfacts.org/images/products/317/680/000/1602/front_fr.28.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:41.267373Z
24,3176800001824,1.91,False,,EUR,2023-11-27,,Agar-Agar,"Nat ali, Nature et aliments","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:seafood', 'en:cooking-helpers', 'en:seaweeds-and-their-products', 'en:seaweed-products', 'en:agar-agar']",unknown,https://images.openfoodfacts.org/images/products/317/680/000/1824/front_fr.8.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:42.439717Z
25,3176800030510,1.09,False,,EUR,2023-11-27,,Potabio épinards spiruline,NAT-ALI,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:fruits-and-vegetables-based-foods', 'en:meals', 'en:dried-products', 'en:dried-products-to-be-rehydrated', 'en:soups', 'en:dried-meals', 'en:vegetable-soups', 'en:dehydrated-soups', 'en:dehydrated-vegetable-soups']",b,https://images.openfoodfacts.org/images/products/317/680/003/0510/front_fr.16.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:43.614674Z
26,3176800030541,1.24,False,,EUR,2023-11-27,,Potabio 5 légumes psyllium,Nat ali,"['en:dried-products', 'en:dried-products-to-be-rehydrated', 'fr:potage-5-legumes']",unknown,https://images.openfoodfacts.org/images/products/317/680/003/0541/front_fr.4.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:44.790223Z
27,3176800032019,1.17,False,,EUR,2023-11-27,,Potabio du monde - Potage Thaï,NAT-ALI,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:fruits-and-vegetables-based-foods', 'en:meals', 'en:dried-products', 'en:dried-products-to-be-rehydrated', 'en:soups', 'en:dried-meals', 'en:vegetable-soups', 'en:dehydrated-soups', 'en:dehydrated-vegetable-soups']",unknown,https://images.openfoodfacts.org/images/products/317/680/003/2019/front_fr.26.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:45.964257Z
28,3176800032026,1.13,False,,EUR,2023-11-27,,Potabio du monde - Indien,"Nat ali, Nature et aliments","['en:meals', 'en:dried-products', 'en:dried-products-to-be-rehydrated', 'en:soups', 'en:dried-meals', 'en:dehydrated-soups', 'fr:potage-deshydrate']",unknown,https://images.openfoodfacts.org/images/products/317/680/003/2026/front_fr.6.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:47.141062Z
29,3176800032064,1.19,False,,EUR,2023-11-27,,Potabio De La Mer,Natali,[],unknown,https://images.openfoodfacts.org/images/products/317/680/003/2064/front_fr.23.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:48.333891Z
30,3176800032217,1.75,False,,EUR,2023-11-27,,Semoule mexicaine,,[],unknown,https://images.openfoodfacts.org/images/products/317/680/003/2217/front_fr.4.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:49.512613Z
31,3176800032224,1.7,False,,EUR,2023-11-27,,BioMinut' Nouilles indiennes,Nat ali,[],unknown,https://images.openfoodfacts.org/images/products/317/680/003/2224/front_fr.20.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:50.688470Z
32,3176800032231,1.7,False,,EUR,2023-11-27,,Nouilles asiatiques bio minute,,[],unknown,https://images.openfoodfacts.org/images/products/317/680/003/2231/front_fr.15.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:51.861856Z
33,3176800032385,2.1,False,,EUR,2023-11-27,,Sucre vanillé bio,"Nat Ali,Nature et aliments","['en:sweeteners', 'en:cooking-helpers', 'en:sugars', 'en:vanilla-sugars']",e,https://images.openfoodfacts.org/images/products/317/680/003/2385/front_fr.19.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:53.037911Z
34,3193840055679,3.94,False,,EUR,2023-11-27,,,,[],,,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:54.247594Z
35,3193840057345,5.0,False,,EUR,2023-11-27,,,,[],,,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:55.416534Z
36,3193840168775,10.51,False,,EUR,2023-11-27,,Véritables cardons lyonnais,Raoul Gey,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:fruits-and-vegetables-based-foods', 'en:vegetables-based-foods', 'en:vegetables', 'en:vegetable-rods', 'en:cardoons']",unknown,https://images.openfoodfacts.org/images/products/319/384/016/8775/front_fr.3.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:37:56.585845Z
