id,product_id,location_id,proof_id,type,product_code,product_name,category_tag,labels_tags,origins_tags,price,price_is_discounted,price_without_discount,discount_type,price_per,currency,location_osm_id,location_osm_type,date,receipt_quantity,owner_comment,owner,source,tags,created,updated,duplicate_of,product.id,product.code,product.source,product.source_last_synced,product.product_name,product.image_url,product.product_quantity,product.product_quantity_unit,product.categories_tags,product.brands,product.brands_tags,product.labels_tags,product.nutriscore_grade,product.ecoscore_grade,product.nova_group,product.unique_scans_n,product.price_count,product.price_currency_count,product.location_count,product.location_type_osm_country_count,product.user_count,product.proof_count,product.created,product.updated,location.id,location.type,location.osm_id,location.osm_type,location.osm_name,location.osm_display_name,location.osm_tag_key,location.osm_tag_value,location.osm_brand,location.osm_address_postcode,location.osm_address_city,location.osm_address_country,location.osm_address_country_code,location.osm_lat,location.osm_lon,location.osm_version,location.website_url,location.price_count,location.user_count,location.product_count,location.proof_count,location.source,location.created,location.updated,proof.id,proof.location_id,proof.file_path,proof.mimetype,proof.type,proof.image_md5_hash,proof.image_thumb_path,proof.location_osm_id,proof.location_osm_type,proof.date,proof.currency,proof.receipt_price_count,proof.receipt_price_total,proof.receipt_online_delivery_costs,proof.ready_for_price_tag_validation,proof.owner_consumption,proof.owner_comment,proof.price_count,proof.prediction_count,proof.owner,proof.source,proof.tags,proof.created,proof.updated
34009,3452741,1016,8872,PRODUCT,0096619583577,,,,,16.99,False,,,,,999504185,WAY,,1.0,,blackfelice,Smoothie - OpenFoodFacts,[],2024-09-16T03:13:31.763009Z,2025-09-09T09:28:33.890023Z,,3452741,0096619583577,off,2026-02-17T05:20:45.629357Z,Sunsweet Dried Plums - Pitted Prunes,https://images.openfoodfacts.org/images/products/009/661/958/3577/front_en.3.400.jpg,1580.0,g,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:fruits-and-vegetables-based-foods', 'en:fruits-based-foods', 'en:dried-products', 'en:dried-plant-based-foods', 'en:dried-fruits', 'en:dried-prunes']",Kirkland Signature,['kirkland-signature'],[],e,f,3.0,1,1,1,1,1,1,1,2024-09-16T03:13:31.767982Z,2026-02-17T05:20:45.632661Z,1016,OSM,999504185,WAY,Costco Wholesale Australia Depot 15,"Costco Wholesale Australia Depot 15, 15, Ottelia Road, Kemps Creek, Sydney, Penrith City Council, New South Wales, 2175, Australia",building,warehouse,,2175,Sydney,Australia,AU,-33.8367043,150.8129545,4,,3,1,3,2,,2024-09-16T03:13:31.779755Z,2024-09-16T03:13:32.276107Z,8872,1016,0009/obhD6gKdTD.jpg,image/jpeg,RECEIPT,cad71538caeec203d1047751c81ef8b6,0009/obhD6gKdTD.400.jpg,999504185,WAY,,,,,,False,True,,1,2,blackfelice,Smoothie - OpenFoodFacts,[],2024-09-16T03:13:29.236715Z,2024-09-30T13:15:35.942067Z
35172,1161645,1089,9233,PRODUCT,4099200162355,,,,,1.19,False,,,,,254355950,NODE,,1.0,,tradmanop,Smoothie - OpenFoodFacts,[],2024-09-26T14:26:29.025415Z,2025-09-09T09:13:09.703617Z,,1161645,4099200162355,off,2026-02-16T22:35:36.479373Z,Sonnenblumenkerne geschält,https://images.openfoodfacts.org/images/products/409/920/016/2355/front_de.31.400.jpg,400.0,g,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:seeds', 'en:sunflower-seeds-and-their-products', 'en:sunflower-seeds', 'en:shelled-sunflower-seeds']",Happy Harvest,['happy-harvest'],[],a,c,1.0,4,2,1,1,1,1,2,2024-01-11T06:19:05.764260Z,2026-02-16T22:35:36.482001Z,1089,OSM,254355950,NODE,Hofer,"Hofer, 233, Linzer Straße, KG Unterbaumgarten, Baumgarten, Penzing, Wien, 1140, Österreich",shop,supermarket,Hofer,1140,Wien,Österreich,AT,48.1944321,16.2887075,5,,6,1,5,6,,2024-09-26T14:26:29.031306Z,2024-09-26T14:26:29.900785Z,9233,1089,0010/zUoPQcThtq.jpg,image/jpeg,RECEIPT,4fe2eb0a8d47d5053813384064307e13,0010/zUoPQcThtq.400.jpg,254355950,NODE,,,,,,False,True,,1,2,tradmanop,Smoothie - OpenFoodFacts,[],2024-09-26T14:26:28.697813Z,2024-09-30T13:15:44.478177Z
34011,1560131,1016,8874,PRODUCT,0096619745234,,,,,19.99,False,,,,,999504185,WAY,,1.0,,blackfelice,Smoothie - OpenFoodFacts,[],2024-09-16T04:01:48.773568Z,2025-09-09T09:45:59.009109Z,,1560131,0096619745234,off,2026-02-17T05:48:11.784573Z,Walnuts,https://images.openfoodfacts.org/images/products/009/661/974/5234/front_en.3.400.jpg,,,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:nuts-and-their-products', 'en:nuts', 'en:walnuts']",Kirkland Signature,['kirkland-signature'],[],b,e,1.0,1,1,0,1,1,1,1,2024-01-11T06:24:21.192635Z,2026-02-17T05:48:11.787429Z,1016,OSM,999504185,WAY,Costco Wholesale Australia Depot 15,"Costco Wholesale Australia Depot 15, 15, Ottelia Road, Kemps Creek, Sydney, Penrith City Council, New South Wales, 2175, Australia",building,warehouse,,2175,Sydney,Australia,AU,-33.8367043,150.8129545,4,,3,1,3,2,,2024-09-16T03:13:31.779755Z,2024-09-16T03:13:32.276107Z,8874,1016,0009/HlEiCrz6e9.jpg,image/jpeg,RECEIPT,5ac4fbce0b9f05eec11b3c316199910f,0009/HlEiCrz6e9.400.jpg,999504185,WAY,,,,,,False,True,,1,2,blackfelice,Smoothie - OpenFoodFacts,[],2024-09-16T04:01:46.394125Z,2024-09-30T13:15:36.109377Z
34040,2936482,1022,8901,PRODUCT,5000129340129,,,,,2.0,False,,,,,29998253,WAY,,,,auntsally,Smoothie - OpenFoodFacts,[],2024-09-17T09:53:53.657566Z,2025-09-09T10:28:35.352290Z,,2936482,5000129340129,off,2026-02-16T20:32:49.504750Z,Brown Sourdough Bloomer,https://images.openfoodfacts.org/images/products/500/012/934/0129/front_en.3.400.jpg,,,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:breads']",Co Op,['co-op'],[],d,unknown,3.0,11,1,0,1,1,1,1,2024-01-11T06:40:22.436076Z,2026-02-16T20:32:49.507643Z,1022,OSM,29998253,WAY,Co-op Food,"Co-op Food, 1, Colmore Row, Jewellery Quarter, Park Central, Birmingham, West Midlands Combined Authority, England, B3 2BJ, United Kingdom",shop,supermarket,Co-op Food,B3 2BJ,Park Central,United Kingdom,GB,52.4827445,-1.8976258,12,,1,1,1,1,,2024-09-17T09:53:53.664289Z,2024-09-17T09:53:53.960950Z,8901,1022,0009/EGU77Ygykz.jpg,image/jpeg,PRICE_TAG,568170eec7428242756378baf7665305,0009/EGU77Ygykz.400.jpg,29998253,WAY,,,,,,False,,,1,2,auntsally,Smoothie - OpenFoodFacts,[],2024-09-17T09:53:53.437025Z,2024-09-30T13:15:37.695228Z
34000,2753909,1012,8867,PRODUCT,7394376616662,,,,,1.99,True,3.99,,,,193976168,WAY,,,,geronimo4,Smoothie - OpenFoodFacts,[],2024-09-15T17:46:19.131964Z,2025-09-09T10:02:54.424422Z,,2753909,7394376616662,off,2025-02-04T17:26:31.070906Z,,https://images.openfoodfacts.org/images/products/739/437/661/6662/front_en.3.400.jpg,,,"['en:desserts', 'en:frozen-foods', 'en:frozen-desserts', 'en:ice-creams-and-sorbets', 'en:ice-creams', 'en:ice-cream-in-a-box']",Oatly,['oatly'],[],d,b,4.0,3,1,0,1,1,1,1,2024-01-11T06:38:11.679756Z,2025-02-04T17:26:31.074034Z,1012,OSM,193976168,WAY,Rimi,"Rimi, 82, Klaipėdos g., Panevėžys, Panevėžio miesto savivaldybė, Panevėžio apskritis, 37107, Lietuva",shop,supermarket,Rimi,37107,Panevėžys,Lietuva,LT,55.7284443,24.3428508,5,,1,1,1,1,,2024-09-15T17:46:19.141374Z,2024-09-15T17:46:19.728805Z,8867,1012,0009/M5ABgVFnjc.jpg,image/jpeg,PRICE_TAG,c3df33b872acd5b10f0b371a63a85dc6,,193976168,WAY,,,,,,False,,,1,2,geronimo4,Smoothie - OpenFoodFacts,[],2024-09-15T17:46:18.944186Z,2024-09-30T13:15:35.775363Z
33965,2954766,1005,8849,PRODUCT,3302740082481,,,,,3.63,False,,,,,7502836286,NODE,,1.0,,martial63,Smoothie - OpenFoodFacts,[],2024-09-14T14:52:20.813089Z,2025-09-09T09:32:16.341671Z,,2954766,3302740082481,off,2026-02-16T23:32:53.761787Z,Wok & Go Porc et riz Aigre Douce,https://images.openfoodfacts.org/images/products/330/274/008/2481/front_fr.13.400.jpg,280.0,g,"['en:meals', 'en:meals-with-meat', 'en:rice-dishes', 'en:pork-meals', 'en:microwave-meals', 'en:caramel-pork']",Fleury Michon,['fleury-michon'],"['en:no-artificial-flavors', 'en:no-preservatives', 'en:no-additives', 'en:nutriscore', 'en:nutriscore-grade-a', 'fr:triman', 'fr:barquette-en-carton']",c,f,3.0,3,1,0,1,1,1,1,2024-01-11T06:40:35.988160Z,2026-02-16T23:32:53.764733Z,1005,OSM,7502836286,NODE,Intermarché,"Intermarché, Rue des Transporteurs, Gex, Ain, Auvergne-Rhône-Alpes, France métropolitaine, 01170, France",amenity,fuel,Intermarché,01170,Gex,France,FR,46.3377537,6.074306,2,,1,1,1,1,,2024-09-14T14:52:20.818779Z,2024-09-14T14:52:21.156765Z,8849,1005,0009/5WUiSEOGJz.jpg,image/jpeg,RECEIPT,d80ff9c4209fd778e3c041a3b3357bbe,0009/5WUiSEOGJz.400.jpg,7502836286,NODE,,,,,,False,True,,1,2,martial63,Smoothie - OpenFoodFacts,[],2024-09-14T14:52:20.529959Z,2024-09-30T13:15:35.405503Z
34499,2427134,891,9048,PRODUCT,4001686120132,,,,,1.19,False,,,,,1235575664,WAY,,1.0,,nickname,Smoothie - OpenFoodFacts,[],2024-09-23T14:17:29.374131Z,2025-09-09T09:13:13.773606Z,,2427134,4001686120132,off,2026-03-18T07:41:30.279516Z,Pico-Balla,https://images.openfoodfacts.org/images/products/400/168/612/0132/front_de.50.400.jpg,160.0,g,"['en:snacks', 'en:sweet-snacks', 'en:cocoa-and-its-products', 'en:confectioneries', 'en:chocolate-candies', 'en:bonbons', 'en:candies', 'en:gummi-candies']",HARIBO,['haribo'],"['en:vegetarian', 'en:european-vegetarian-union', 'en:european-vegetarian-union-vegetarian', 'en:made-in-the-eu']",e,b,4.0,38,2,1,2,1,2,2,2024-01-11T06:34:23.083107Z,2026-03-18T07:41:30.283285Z,891,OSM,1235575664,WAY,EDEKA xpress,"EDEKA xpress, 27, Heideckstraße, Ebenau, Dom Pedro, Neuhausen-Nymphenburg, München, Bayern, 80637, Deutschland",shop,supermarket,EDEKA,80637,München,Deutschland,DE,48.161406,11.5406088,2,,25,1,18,11,,2024-08-29T10:08:41.234540Z,2024-08-29T10:08:41.660447Z,9048,891,0010/0bzohSbCEi.jpg,image/jpeg,RECEIPT,8634de189cbdae9c3542243027f85fe3,0010/0bzohSbCEi.400.jpg,1235575664,WAY,,,,,,False,True,,3,2,nickname,Smoothie - OpenFoodFacts,[],2024-09-23T14:17:28.646003Z,2024-09-30T13:15:40.428339Z
34247,3411560,1044,8954,PRODUCT,5202353000200,,,,,1.59,True,1.99,,,,791180067,WAY,,1.0,,consumerfoodfacts,Smoothie - OpenFoodFacts,[],2024-09-21T12:58:39.458195Z,2025-09-09T09:29:17.401391Z,,3411560,5202353000200,off,2026-02-17T00:58:36.934811Z,Activia Kefir Blueberry,https://images.openfoodfacts.org/images/products/520/235/300/0200/front_en.13.400.jpg,320.0,ml,[],DANONE,['danone'],[],unknown,unknown,,2,1,1,1,1,1,1,2024-08-13T17:56:48.712045Z,2026-02-17T00:58:36.937500Z,1044,OSM,791180067,WAY,ΑΒ Βασιλόπουλος,"ΑΒ Βασιλόπουλος, Κορίνθου - Πατρών, Εργατικές Κατοικίες Αγυιάς, 1η Κοινότητα Πατρών - Αρκτικός Τομέας, Δημοτική Ενότητα Πατρέων, Δήμος Πατρέων, Περιφερειακή Ενότητα Αχαΐας, Περιφέρεια Δυτικής Ελλάδας, Αποκεντρωμένη Διοίκηση Πελοποννήσου, Δυτικής Ελλάδας και Ιονίου, 265 00, Ελλάς",shop,supermarket,ΑΒ Βασιλόπουλος,265 00,Δημοτική Ενότητα Πατρέων,Ελλάς,GR,38.2614629,21.7496389,1,,3,1,3,3,,2024-09-21T12:58:39.466207Z,2024-09-21T12:58:39.708479Z,8954,1044,0010/u3Ro3U3E30.jpg,image/jpeg,RECEIPT,67b5c1d5fdb1aa19b4d030c556370d34,0010/u3Ro3U3E30.400.jpg,791180067,WAY,,,,,,False,True,,1,2,consumerfoodfacts,Smoothie - OpenFoodFacts,[],2024-09-21T12:58:38.668732Z,2024-09-30T13:15:37.400394Z
34865,3082436,1076,9137,PRODUCT,4068134004802,,,,,2.99,False,,,,,40980514,WAY,,1.0,,eireen66,Smoothie - OpenFoodFacts,[],2024-09-25T09:47:28.829491Z,2025-09-09T09:29:08.893981Z,,3082436,4068134004802,off,2026-02-17T03:07:25.611844Z,Saaten Brot,https://images.openfoodfacts.org/images/products/406/813/400/4802/front_de.3.400.jpg,0.0,g,['de:brotbackmischung'],Rossmann,['rossmann'],['en:no-gluten'],a,unknown,4.0,1,1,0,1,1,1,1,2024-02-27T12:33:06.373749Z,2026-02-17T03:07:25.615258Z,1076,OSM,40980514,WAY,Rossmann,"Rossmann, Burgwedel, Region Hannover, Niedersachsen, 30938, Deutschland",landuse,industrial,,30938,Burgwedel,Deutschland,DE,52.4901412,9.8317748,6,,1,1,1,1,,2024-09-25T09:47:28.837476Z,2024-09-25T09:47:29.670680Z,9137,1076,0010/46wCm1m9fq.jpg,image/jpeg,RECEIPT,c0caefc9fd0b888f43279b72427c7880,0010/46wCm1m9fq.400.jpg,40980514,WAY,,,,,,False,True,,1,2,eireen66,Smoothie - OpenFoodFacts,[],2024-09-25T09:47:28.421682Z,2024-09-30T13:15:40.188792Z
33999,3452739,979,8866,PRODUCT,0220028002101,,,,,2.1,False,,,,,1962691832,NODE,,,,pescadito,Smoothie - OpenFoodFacts,[],2024-09-15T16:48:33.232357Z,2025-09-09T10:41:39.105959Z,,3452739,0220028002101,off,2025-02-04T20:44:46.830846Z,ABC MIDI Loaf,https://images.openfoodfacts.org/images/products/022/002/800/2101/front_en.3.400.jpg,,,['en:abc-midi-loaf'],Dunnes Stores,['dunnes-stores'],[],unknown,unknown,,1,1,1,1,1,1,1,2024-09-15T16:48:33.238090Z,2025-02-04T20:44:46.833878Z,979,OSM,1962691832,NODE,Dunnes Stores,"Dunnes Stores, Saint Patrick's Street, City Centre, Centre B ED, Cork, County Cork, Munster, T12 C624, Éire / Ireland",shop,supermarket,Dunnes Stores,T12 C624,Cork,Éire / Ireland,IE,51.899027,-8.4716954,8,,3,2,3,3,,2024-09-10T21:18:32.088660Z,2024-09-10T21:18:33.302992Z,8866,979,0009/uqcCeRH68K.jpg,image/jpeg,PRICE_TAG,127a661b1b14b927d9638be209346b3f,0009/uqcCeRH68K.400.jpg,1962691832,NODE,,,,,,False,,,1,2,pescadito,Smoothie - OpenFoodFacts,[],2024-09-15T16:48:32.706123Z,2024-09-30T13:15:35.735986Z
