fdc_id,description,brand_owner,brand_name,gtin_upc,ingredients,food_category,serving_size,serving_size_unit,published_date,market_country,data_source,search_term
2517161,Cheerios Cereal,General Mills,Cheerios,00016000275287,"WHOLE GRAIN OATS, CORN STARCH, SUGAR, SALT, TRIPOTASSIUM PHOSPHATE. VITAMIN E (MIXED TOCOPHEROLS) ADDED TO PRESERVE FRESHNESS.VITAMINS AND MINERALS: CALCIUM CARBONATE, IRON AND ZINC (MINERAL NUTRIENTS), VITAMIN C (SODIUM ASCORBATE), A B VITAMIN (NIACINAMIDE), VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE), VITAMIN A (PALMITATE), VITAMIN B1 (THIAMIN MONONITRATE), A B VITAMIN (FOLIC ACID), VITAMIN B12, VITAMIN D3.",Processed Cereal Products,20.0,GRM,2023-04-27,United States,GDSN,cheerios
2738631,Cheerios Cereal,GENERAL MILLS SALES INC.,Cheerios,00016000322622,"Whole Grain Oats, Corn Starch, Sugar, Salt, Tripotassium Phosphate. Vitamin E (mixed tocopherols) Added to Preserve Freshness.Vitamins and Minerals: Calcium Carbonate, Iron and Zinc (mineral nutrients), Vitamin C (sodium ascorbate), A B Vitamin (niacinamide), Vitamin B6 (pyridoxine hydrochloride), Vitamin A (palmitate), Vitamin B1 (thiamin mononitrate), A B Vitamin (folic acid), Vitamin B12, Vitamin D3.",Processed Cereal Products,28.0,GRM,2025-07-24,United States,GDSN,cheerios
759418,Cheerios Cereal,GENERAL MILLS SALES INC.,,00016000503687,"WHOLE GRAIN OATS, CORN STARCH, SUGAR, SALT, TRIPOTASSIUM PHOSPHATE. VITAMIN E (MIXED TOCOPHEROLS) ADDED TO PRESERVE FRESHNESS.VITAMINS AND MINERALS: CALCIUM CARBONATE, IRON AND ZINC (MINERAL NUTRIENTS), VITAMIN C (SODIUM ASCORBATE), A B VITAMIN (NIACINAMIDE), VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE), VITAMIN A (PALMITATE), VITAMIN B1 (THIAMIN MONONITRATE), A B VITAMIN (FOLIC ACID), VITAMIN B12, VITAMIN D3.",Processed Cereal Products,26.0,g,2020-02-27,United States,GDSN,cheerios
1462106,Blueberry Cheerios Cereal,GENERAL MILLS SALES INC.,Cheerios,00016000149830,"Whole Grain Oats, Sugar, Oat Bran, Blueberry Puree Concentrate, Corn Starch, Canola Oil, Salt, Corn Syrup, Vegetable and Fruit Juice Color, Trisodium Phosphate, Natural Flavor. Vitamin E (mixed tocopherols) Added to Preserve Freshness.Vitamins and Minerals: Calcium Carbonate, Vitamin C (sodium ascorbate), A B Vitamin (niacinamide), Zinc and Iron (mineral nutrients), Vitamin B6 (pyridoxine hydrochloride), Vitamin B1 (thiamin mononitrate), Vitamin A (palmitate), Vitamin B2 (riboflavin), A B Vitamin (folic acid), Vitamin B12, Vitamin D3.",Processed Cereal Products,150.0,g,2021-03-19,United States,GDSN,cheerios
2233830,Blueberry Cheerios Cereal,GENERAL MILLS SALES INC.,Cheerios,00016000149847,"Whole Grain Oats, Sugar, Blueberry Puree Concentrate, Corn Starch, Canola Oil, Salt, Corn Syrup, Vegetable and Fruit Juice Color, Trisodium Phosphate, Natural Flavor. Vitamin E (mixed tocopherols) Added to Preserve Freshness. Vitamins and Minerals: Calcium Carbonate, Vitamin C (sodium ascorbate), Iron and Zinc (mineral nutrients), A B Vitamin (niacinamide), Vitamin B6 (pyridoxine hydrochloride), Vitamin B1 (thiamin mononitrate), Vitamin A (palmitate), Vitamin B2 (riboflavin), A B Vitamin (folic acid), Vitamin B12, Vitamin D3.",Processed Cereal Products,159.0,g,2022-04-01,United States,GDSN,cheerios
2511625,"OREO CEREAL, OREO","Post Consumer Brands, LLC",OREO O'S,884912268396,"CORN FLOUR, SUGAR, WHOLE GRAIN OAT FLOUR, COCOA (PROCESSED WITH ALKALI), CANOLA OIL, CORN SYRUP, UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID), SALT, DEGERMED CORN MEAL, NATURAL AND ARTIFICIAL FLAVOR, CORNSTARCH, PALM OIL, TITANIUM DIOXIDE (COLOR), CHOCOLATE LIQUOR, HIGH FRUCTOSE CORN SYRUP, LEAVENING (BAKING SODA AND/OR CALCIUM PHOSPHATE), SOY LECITHIN, BHT TO PRESERVE FRESHNESS. VITAMINS AND MINERALS: FERRIC ORTHOPHOSPHATE (SOURCE OF IRON), NIACINAMIDE (VITAMIN B3), ZINC OXIDE (SOURCE OF ZINC) THIAMIN MONONITRATE (VITAMIN B1), CALCIUM PANTOTHENATE (A B-VITAMIN), PYRIDOXINE HYDROCHLORIDE (VITAMIN B6), FOLIC ACID.",Cereal,30.0,MG,2023-03-16,United States,LI,oreo
2655431,"OREO CHEESECAKE, OREO","GAD BAKERIES, LLC",JUNIOR'S,0748924340016,"CREAM CHEESE (MILK, CREAM, CONTAINS LESS THAN 2% OF SALT, CAROB BEAN GUM, CHEESE CULTURE), OREO COOKIES (UNBLEACHED ENRICHED FLOUR [WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE {VITAMIN B1}, RIBOFLAVIN {VITAMIN B2}, FOLIC ACID], SUGAR, SOYBEAN AND/OR CANOLA OIL, COCOA [PROCESSED WITH ALKALI], PALM OIL, INVERT SUGAR, LEAVENING [BAKING SODA AND/OR CALCIUM PHOSPHATE], HIGH FRUCTOSE CORN SYRUP, SALT, SOY LECITHIN, CHOCOLATE, NATURAL FLAVOR, ARTIFICIAL FLAVOR), SUGAR, HEAVY CREAM, EGGS (EGGS, CITRIC ACID, WATER), BUTTER (SWEET CREAM, NATURAL FLAVOR), PASTEURIZED CULTURED SKIM MILK, CONTAINS LESS THAN 2% OF THE FOLLOWING: CORN STARCH, WATER, NATURAL FLAVOR, MILK PROTEIN, MICROBIAL RENNET, SOYBEAN LECITHIN","Cakes, Cupcakes, Snack Cakes",136.0,GRM,2023-10-26,United States,LI,oreo
2500857,"OREO CONES, OREO",Nabisco Biscuit Company,OREO,044000048938,"BLEACHED AND UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE {VITAMIN B1}, RIBOFLAVIN {VITAMIN B2}, FOLIC ACID), BROWN SUGAR, COCOA (PROCESSED WITH ALKALI), SUGAR, SOYBEAN AND/OR CANOLA AND/OR PALM OIL, CARAMEL COLOR, HIGH OLEIC CANOLA OIL, SALT, HIGH FRUCTOSE CORN SYRUP, SOY LECITHIN, LEAVENING (BAKING SODA AND/OR CALCIUM PHOSPHATE), ARTIFICIAL FLAVOR, CHOCOLATE.",Crackers & Biscotti,13.0,MG,2023-03-16,United States,LI,oreo
2670884,"OREO MUFFINS, OREO",,TWO-BITE,770981107806,"SUGAR, BLEACHED ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), SOYBEAN AND/OR CANOLA OIL, WATER, EGGS, COCOA POWDER (PROCESSED WITH ALKALI), INVERT SUGAR, PALM AND PALM KERNEL OIL, GLYCERIN, CONTAINS 2% OR LESS OF: MODIFIED CORNSTARCH, LEAVENING (BAKING SODA, SODIUM ALUMINUM PHOSPHATE AND/OR SODIUM ACID PYROPHOSPHATE, MONOCALCIUM PHOSPHATE), EMULSIFIER BLEND (MONO- AND DIGLYCERIDES, SODIUM STEAROYL LACTYLATE, POLYSORBATE 60), NATURAL AND ARTIFICIAL FLAVOR, WHEY (MILK), NONFAT DRY MILK, POTASSIUM SORBATE (PRESERVATIVE), SALT, WHEAT GLUTEN, XANTHAN GUM, GUAR GUM, SORBIC ACID (PRESERVATIVE), ENZYMES, SOYBEAN LECITHIN.","Croissants, Sweet Rolls, Muffins & Other Pastries",57.0,GRM,2023-11-16,United States,LI,oreo
2538746,"OREO MUFFINS, OREO",,THE WORTHY CRUMB PASTRY CO.,770981167312,"SUGAR, SOYBEAN OIL, WATER, BLEACHED ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), OREO COOKIE PIECES (ENRICHED WHEAT FLOUR [WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID], SUGAR, FRACTIONATED PALM OIL, CANOLA OIL, COCOA POWDER [PROCESSED WITH ALKALI], HIGH FRUCTOSE CORN SYRUP, SALT, SOYBEAN LECITHIN [EMULSIFIER], LEAVENING [BAKING SODA, AMMONIUM BICARBONATE], UNSWEETENED CHOCOLATE, ARTIFICIAL FLAVOR), EGGS, COCOA POWDER (PROCESSED WITH ALKALI), SOFT MARSHMALLOW BITS (SUGAR, RICE FLOUR, PALM OIL, WHEAT STARCH, CORNSTARCH, DEXTROSE, FRUCTOSE, NATURAL AND ARTIFICIAL FLAVOR, TITANIUM DIOXIDE (COLOR), CORN SYRUP SOLIDS), CONTAINS 2% OR LESS OF: INVERT SUGAR, MODIFIED CORNSTARCH, GLYCERIN, LEAVENING (BAKING SODA, SODIUM ALUMINUM PHOSPHATE, MONOCALCIUM PHOSPHATE), EMULSIFIER BLEND (MONO- AND DIGLYCERIDES, SODIUM STEAROYL LACTYLATE, POLYSORBATE 60), WHEY (MILK), NONFAT DRY MILK, POTASSIUM SORBATE (PRESERVATIVE), NATURAL AND ARTIFICIAL FLAVOR, SALT, WHEAT GLUTEN, XANTHAN GUM, GUAR GUM, SORBIC ACID (PRESERVATIVE), ENZYMES.","Croissants, Sweet Rolls, Muffins & Other Pastries",74.0,GRM,2023-04-27,United States,LI,oreo
