fdcId,description,dataType,publicationDate,brandOwner,gtinUpc,foodNutrients
2742400, AdvancePierre Flamebroiled Rib Shaped Pork Patty Topped with BBQ Sauce ,Branded,2025-09-18,Tyson Foods Inc.,00071421681567,"[{'number': '203', 'name': 'Protein', 'amount': 14.8, 'unitName': 'G', 'derivationCode': 'LCGA', 'derivationDescription': 'Given by information provider as an approximate value per 100 unit measure'}, {'number': '204', 'name': 'Total lipid (fat)', 'amount': 12.1, 'unitName': 'G', 'derivationCode': 'LCGA', 'derivationDescription': 'Given by information provider as an approximate value per 100 unit measure'}, {'number': '205', 'name': 'Carbohydrate, by difference', 'amount': 10.2, 'unitName': 'G', 'derivationCode': 'LCGA', 'derivationDescription': 'Given by information provider as an approximate value per 100 unit measure'}, {'number': '208', 'name': 'Energy', 'amount': 209, 'unitName': 'KCAL', 'derivationCode': 'LCGA', 'derivationDescription': 'Given by information provider as an approximate value per 100 unit measure'}, {'number': '269', 'name': 'Total Sugars', 'amount': 8.18, 'unitName': 'G', 'derivationCode': 'LCGA', 'derivationDescription': 'Given by information provider as an approximate value per 100 unit measure'}, {'number': '291', 'name': 'Fiber, total dietary', 'amount': 0.99, 'unitName': 'G', 'derivationCode': 'LCGA', 'derivationDescription': 'Given by information provider as an approximate value per 100 unit measure'}, {'number': '301', 'name': 'Calcium, Ca', 'amount': 41.2, 'unitName': 'MG', 'derivationCode': 'LCGA', 'derivationDescription': 'Given by information provider as an approximate value per 100 unit measure'}, {'number': '303', 'name': 'Iron, Fe', 'amount': 1.2, 'unitName': 'MG', 'derivationCode': 'LCGA', 'derivationDescription': 'Given by information provider as an approximate value per 100 unit measure'}, {'number': '307', 'name': 'Sodium, Na', 'amount': 288, 'unitName': 'MG', 'derivationCode': 'LCGA', 'derivationDescription': 'Given by information provider as an approximate value per 100 unit measure'}, {'number': '320', 'name': 'Vitamin A, RAE', 'amount': 27.5, 'unitName': 'UG', 'derivationCode': 'LCGA', 'derivationDescription': 'Given by information provider as an approximate value per 100 unit measure'}, {'number': '401', 'name': 'Vitamin C, total ascorbic acid', 'amount': 1.81, 'unitName': 'MG', 'derivationCode': 'LCGA', 'derivationDescription': 'Given by information provider as an approximate value per 100 unit measure'}, {'number': '601', 'name': 'Cholesterol', 'amount': 45.0, 'unitName': 'MG', 'derivationCode': 'LCGA', 'derivationDescription': 'Given by information provider as an approximate value per 100 unit measure'}, {'number': '605', 'name': 'Fatty acids, total trans', 'amount': 0.09, 'unitName': 'G', 'derivationCode': 'LCGA', 'derivationDescription': 'Given by information provider as an approximate value per 100 unit measure'}, {'number': '606', 'name': 'Fatty acids, total saturated', 'amount': 4.13, 'unitName': 'G', 'derivationCode': 'LCGA', 'derivationDescription': 'Given by information provider as an approximate value per 100 unit measure'}]"
2617100, ALL NATURAL GLUTEN FREE CHICKEN NUGGETS,Branded,2023-08-31,Golden Platter Foods Inc.,0099447210127,"[{'number': '203', 'name': 'Protein', 'amount': 18.8, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '204', 'name': 'Total lipid (fat)', 'amount': 9.41, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '205', 'name': 'Carbohydrate, by difference', 'amount': 8.24, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '208', 'name': 'Energy', 'amount': 194, 'unitName': 'KCAL', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '269', 'name': 'Total Sugars', 'amount': 0.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '291', 'name': 'Fiber, total dietary', 'amount': 0.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '301', 'name': 'Calcium, Ca', 'amount': 0.0, 'unitName': 'MG', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure'}, {'number': '303', 'name': 'Iron, Fe', 'amount': 0.85, 'unitName': 'MG', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure'}, {'number': '307', 'name': 'Sodium, Na', 'amount': 400, 'unitName': 'MG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '401', 'name': 'Vitamin C, total ascorbic acid', 'amount': 1.4, 'unitName': 'MG', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure'}, {'number': '601', 'name': 'Cholesterol', 'amount': 47.0, 'unitName': 'MG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '605', 'name': 'Fatty acids, total trans', 'amount': 0.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '606', 'name': 'Fatty acids, total saturated', 'amount': 2.35, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '320', 'name': 'Vitamin A, RAE', 'amount': 0.0, 'unitName': 'UG', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure'}]"
2604504," ALL NATURAL ROSEMARY & OLIVE OIL BASMATI RICE, ROSEMARY; OLIVE OIL",Branded,2023-07-13,SLT Foods Inc.,0838927500101,"[{'number': '203', 'name': 'Protein', 'amount': 6.52, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '204', 'name': 'Total lipid (fat)', 'amount': 0.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '205', 'name': 'Carbohydrate, by difference', 'amount': 78.3, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '208', 'name': 'Energy', 'amount': 326, 'unitName': 'KCAL', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '269', 'name': 'Total Sugars', 'amount': 2.17, 'unitName': 'G', 'derivationCode': 'LCSL', 'derivationDescription': 'Calculated from a less than value per serving size measure'}, {'number': '291', 'name': 'Fiber, total dietary', 'amount': 2.2, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '301', 'name': 'Calcium, Ca', 'amount': 22.0, 'unitName': 'MG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '303', 'name': 'Iron, Fe', 'amount': 3.04, 'unitName': 'MG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '306', 'name': 'Potassium, K', 'amount': 87.0, 'unitName': 'MG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '307', 'name': 'Sodium, Na', 'amount': 1000.0, 'unitName': 'MG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '328', 'name': 'Vitamin D (D2 + D3)', 'amount': 0.0, 'unitName': 'UG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '539', 'name': 'Sugars, added', 'amount': 0.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '601', 'name': 'Cholesterol', 'amount': 0.0, 'unitName': 'MG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '605', 'name': 'Fatty acids, total trans', 'amount': 0.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '606', 'name': 'Fatty acids, total saturated', 'amount': 0.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}]"
2570670, ARTISANAL COLLECTION SPAGHETTI PASTA,Branded,2023-06-29,Barilla G & R F.Lli S.P.A.,0076808004649,"[{'number': '203', 'name': 'Protein', 'amount': 14.3, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '204', 'name': 'Total lipid (fat)', 'amount': 1.79, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '205', 'name': 'Carbohydrate, by difference', 'amount': 73.2, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '208', 'name': 'Energy', 'amount': 357, 'unitName': 'KCAL', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '269', 'name': 'Total Sugars', 'amount': 1.79, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '291', 'name': 'Fiber, total dietary', 'amount': 5.4, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '295', 'name': 'Fiber, soluble', 'amount': 4.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '297', 'name': 'Fiber, insoluble', 'amount': 2.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '301', 'name': 'Calcium, Ca', 'amount': 21.0, 'unitName': 'MG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '303', 'name': 'Iron, Fe', 'amount': 3.57, 'unitName': 'MG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '306', 'name': 'Potassium, K', 'amount': 211, 'unitName': 'MG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '307', 'name': 'Sodium, Na', 'amount': 0.0, 'unitName': 'MG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '328', 'name': 'Vitamin D (D2 + D3)', 'amount': 0.0, 'unitName': 'UG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '404', 'name': 'Thiamin', 'amount': 1.0, 'unitName': 'MG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '405', 'name': 'Riboflavin', 'amount': 0.357, 'unitName': 'MG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '406', 'name': 'Niacin', 'amount': 8.93, 'unitName': 'MG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '417', 'name': 'Folate, total', 'amount': 355, 'unitName': 'UG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '431', 'name': 'Folic acid', 'amount': 200, 'unitName': 'UG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '601', 'name': 'Cholesterol', 'amount': 0.0, 'unitName': 'MG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '605', 'name': 'Fatty acids, total trans', 'amount': 0.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '606', 'name': 'Fatty acids, total saturated', 'amount': 0.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}]"
2607109, AUTHENTIC BARREL RIPENED FETA CHEESE,Branded,2023-07-13,"Wdh, LLC",0852501006001,"[{'number': '203', 'name': 'Protein', 'amount': 14.3, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '204', 'name': 'Total lipid (fat)', 'amount': 25.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '205', 'name': 'Carbohydrate, by difference', 'amount': 0.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '208', 'name': 'Energy', 'amount': 286, 'unitName': 'KCAL', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '269', 'name': 'Total Sugars', 'amount': 0.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '291', 'name': 'Fiber, total dietary', 'amount': 0.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '301', 'name': 'Calcium, Ca', 'amount': 214, 'unitName': 'MG', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure'}, {'number': '303', 'name': 'Iron, Fe', 'amount': 0.0, 'unitName': 'MG', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure'}, {'number': '306', 'name': 'Potassium, K', 'amount': 0.0, 'unitName': 'MG', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure'}, {'number': '307', 'name': 'Sodium, Na', 'amount': 1210.0, 'unitName': 'MG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '328', 'name': 'Vitamin D (D2 + D3)', 'amount': 0.0, 'unitName': 'UG', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure'}, {'number': '539', 'name': 'Sugars, added', 'amount': 0.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '601', 'name': 'Cholesterol', 'amount': 82.0, 'unitName': 'MG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '605', 'name': 'Fatty acids, total trans', 'amount': 0.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '606', 'name': 'Fatty acids, total saturated', 'amount': 17.9, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}]"
1861692, BERRY NUT BLEND BREAKFAST IN THE GO! ,Branded,2021-07-29,"Snyder's-Lance, Inc.",010300064220,"[{'number': '203', 'name': 'Protein', 'amount': 9.41, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '204', 'name': 'Total lipid (fat)', 'amount': 21.2, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '205', 'name': 'Carbohydrate, by difference', 'amount': 58.8, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '208', 'name': 'Energy', 'amount': 447, 'unitName': 'KCAL', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '269', 'name': 'Total Sugars', 'amount': 40.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '291', 'name': 'Fiber, total dietary', 'amount': 7.1, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '301', 'name': 'Calcium, Ca', 'amount': 188, 'unitName': 'MG', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure'}, {'number': '303', 'name': 'Iron, Fe', 'amount': 2.54, 'unitName': 'MG', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure'}, {'number': '307', 'name': 'Sodium, Na', 'amount': 153, 'unitName': 'MG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '318', 'name': 'Vitamin A, IU', 'amount': 0.0, 'unitName': 'IU', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure'}, {'number': '401', 'name': 'Vitamin C, total ascorbic acid', 'amount': 0.0, 'unitName': 'MG', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure'}, {'number': '601', 'name': 'Cholesterol', 'amount': 0.0, 'unitName': 'MG', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure'}, {'number': '605', 'name': 'Fatty acids, total trans', 'amount': 0.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '606', 'name': 'Fatty acids, total saturated', 'amount': 4.71, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}]"
2624305," BLACK CHERRY PURE ENERGY SELTZER, BLACK CHERRY",Branded,2023-08-31,Energy Beverages LLC,0815154024174,"[{'number': '203', 'name': 'Protein', 'amount': 0.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '204', 'name': 'Total lipid (fat)', 'amount': 0.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '205', 'name': 'Carbohydrate, by difference', 'amount': 0.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '208', 'name': 'Energy', 'amount': 0.0, 'unitName': 'KCAL', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '269', 'name': 'Total Sugars', 'amount': 0.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '307', 'name': 'Sodium, Na', 'amount': 0.0, 'unitName': 'MG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '309', 'name': 'Zinc, Zn', 'amount': 2.11, 'unitName': 'MG', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure'}, {'number': '401', 'name': 'Vitamin C, total ascorbic acid', 'amount': 4.2, 'unitName': 'MG', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure'}, {'number': '406', 'name': 'Niacin', 'amount': 4.51, 'unitName': 'MG', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure'}, {'number': '410', 'name': 'Pantothenic acid', 'amount': 1.13, 'unitName': 'MG', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure'}, {'number': '415', 'name': 'Vitamin B-6', 'amount': 0.451, 'unitName': 'MG', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure'}, {'number': '418', 'name': 'Vitamin B-12', 'amount': 1.35, 'unitName': 'UG', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure'}, {'number': '539', 'name': 'Sugars, added', 'amount': 0.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '320', 'name': 'Vitamin A, RAE', 'amount': 63.0, 'unitName': 'UG', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure'}]"
2611238, BLUE LAKE CUT GREEN BEANS,Branded,2023-07-13,Del Monte Foods Inc.,0024000258292,"[{'number': '203', 'name': 'Protein', 'amount': 0.83, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '204', 'name': 'Total lipid (fat)', 'amount': 0.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '205', 'name': 'Carbohydrate, by difference', 'amount': 2.48, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '208', 'name': 'Energy', 'amount': 17.0, 'unitName': 'KCAL', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '269', 'name': 'Total Sugars', 'amount': 0.83, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '291', 'name': 'Fiber, total dietary', 'amount': 0.8, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '301', 'name': 'Calcium, Ca', 'amount': 26.0, 'unitName': 'MG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '303', 'name': 'Iron, Fe', 'amount': 0.41, 'unitName': 'MG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '306', 'name': 'Potassium, K', 'amount': 79.0, 'unitName': 'MG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '307', 'name': 'Sodium, Na', 'amount': 314, 'unitName': 'MG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '328', 'name': 'Vitamin D (D2 + D3)', 'amount': 0.0, 'unitName': 'UG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '539', 'name': 'Sugars, added', 'amount': 0.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '601', 'name': 'Cholesterol', 'amount': 0.0, 'unitName': 'MG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '605', 'name': 'Fatty acids, total trans', 'amount': 0.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '606', 'name': 'Fatty acids, total saturated', 'amount': 0.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}]"
2598948, BRIE TRIPLE CRME SOFT-RIPENED CHEESE,Branded,2023-07-13,Besnier S.A.,0077901263209,"[{'number': '203', 'name': 'Protein', 'amount': 14.3, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '204', 'name': 'Total lipid (fat)', 'amount': 39.3, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '205', 'name': 'Carbohydrate, by difference', 'amount': 0.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '208', 'name': 'Energy', 'amount': 393, 'unitName': 'KCAL', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '269', 'name': 'Total Sugars', 'amount': 0.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '291', 'name': 'Fiber, total dietary', 'amount': 0.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '301', 'name': 'Calcium, Ca', 'amount': 286, 'unitName': 'MG', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure'}, {'number': '303', 'name': 'Iron, Fe', 'amount': 0.0, 'unitName': 'MG', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure'}, {'number': '306', 'name': 'Potassium, K', 'amount': 0.0, 'unitName': 'MG', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure'}, {'number': '307', 'name': 'Sodium, Na', 'amount': 500, 'unitName': 'MG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '328', 'name': 'Vitamin D (D2 + D3)', 'amount': 0.0, 'unitName': 'UG', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure'}, {'number': '539', 'name': 'Sugars, added', 'amount': 0.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '601', 'name': 'Cholesterol', 'amount': 107, 'unitName': 'MG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '605', 'name': 'Fatty acids, total trans', 'amount': 0.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '606', 'name': 'Fatty acids, total saturated', 'amount': 25.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}]"
2614606, BUFFALO STYLE WHIPPED CREAM CHEESE SPREAD,Branded,2023-08-31,Kraft Heinz Foods Company,0021000080434,"[{'number': '203', 'name': 'Protein', 'amount': 4.55, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '204', 'name': 'Total lipid (fat)', 'amount': 13.6, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '205', 'name': 'Carbohydrate, by difference', 'amount': 13.6, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '208', 'name': 'Energy', 'amount': 205, 'unitName': 'KCAL', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '269', 'name': 'Total Sugars', 'amount': 4.55, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '291', 'name': 'Fiber, total dietary', 'amount': 4.5, 'unitName': 'G', 'derivationCode': 'LCSL', 'derivationDescription': 'Calculated from a less than value per serving size measure'}, {'number': '301', 'name': 'Calcium, Ca', 'amount': 0.0, 'unitName': 'MG', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure'}, {'number': '303', 'name': 'Iron, Fe', 'amount': 0.0, 'unitName': 'MG', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure'}, {'number': '306', 'name': 'Potassium, K', 'amount': 0.0, 'unitName': 'MG', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure'}, {'number': '307', 'name': 'Sodium, Na', 'amount': 682, 'unitName': 'MG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '328', 'name': 'Vitamin D (D2 + D3)', 'amount': 0.0, 'unitName': 'UG', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure'}, {'number': '539', 'name': 'Sugars, added', 'amount': 0.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '601', 'name': 'Cholesterol', 'amount': 45.0, 'unitName': 'MG', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '605', 'name': 'Fatty acids, total trans', 'amount': 0.0, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '606', 'name': 'Fatty acids, total saturated', 'amount': 9.09, 'unitName': 'G', 'derivationCode': 'LCCS', 'derivationDescription': 'Calculated from value per serving size measure'}, {'number': '320', 'name': 'Vitamin A, RAE', 'amount': 614, 'unitName': 'UG', 'derivationCode': 'LCCD', 'derivationDescription': 'Calculated from a daily value percentage per serving size measure'}]"
