price_id,product_name,source,completeness,consistency,accuracy,freshness,dq_score
1,,open_prices,16.7,20.0,20.0,25.0,81.7
2,,open_prices,16.7,20.0,20.0,25.0,81.7
3,,open_prices,16.7,20.0,20.0,25.0,81.7
4,,open_prices,16.7,20.0,20.0,25.0,81.7
5,,open_prices,16.7,20.0,20.0,25.0,81.7
6,,open_prices,16.7,20.0,20.0,25.0,81.7
7,,open_prices,16.7,20.0,20.0,25.0,81.7
8,,open_prices,16.7,20.0,20.0,25.0,81.7
9,,open_prices,16.7,20.0,20.0,25.0,81.7
10,,open_prices,16.7,20.0,20.0,25.0,81.7
11,,open_prices,16.7,20.0,20.0,25.0,81.7
12,,open_prices,16.7,20.0,20.0,25.0,81.7
13,,open_prices,16.7,20.0,20.0,25.0,81.7
14,,open_prices,16.7,20.0,20.0,25.0,81.7
15,Chou blanc lacto-fermenté bio,open_prices,25.0,20.0,20.0,25.0,90.0
16,Betterave Lacto-fermentée BIO,open_prices,25.0,20.0,20.0,25.0,90.0
17,Antésite réglisse anis étoilé,open_prices,25.0,20.0,20.0,25.0,90.0
18,Antesite,open_prices,25.0,20.0,20.0,25.0,90.0
19,,open_prices,16.7,20.0,20.0,25.0,81.7
20,,open_prices,16.7,20.0,20.0,25.0,81.7
21,Poudre à lever pour vos patisseries bio,open_prices,25.0,20.0,20.0,25.0,90.0
22,Préparation gélifiante Confix'bio,open_prices,25.0,20.0,20.0,25.0,90.0
23,Ferments Pour Yaourt Bifidus,open_prices,25.0,20.0,20.0,25.0,90.0
24,Agar-Agar,open_prices,25.0,20.0,20.0,25.0,90.0
25,Potabio épinards spiruline,open_prices,25.0,20.0,20.0,25.0,90.0
26,Potabio 5 légumes psyllium,open_prices,25.0,20.0,20.0,25.0,90.0
27,Potabio du monde - Potage Thaï,open_prices,25.0,20.0,20.0,25.0,90.0
28,Potabio du monde - Indien,open_prices,25.0,20.0,20.0,25.0,90.0
29,Potabio De La Mer,open_prices,25.0,20.0,20.0,25.0,90.0
30,Semoule mexicaine,open_prices,20.8,20.0,20.0,25.0,85.8
31,BioMinut' Nouilles indiennes,open_prices,25.0,20.0,20.0,25.0,90.0
32,Nouilles asiatiques bio minute,open_prices,20.8,20.0,20.0,25.0,85.8
33,Sucre vanillé bio,open_prices,25.0,20.0,20.0,25.0,90.0
34,,open_prices,16.7,20.0,20.0,25.0,81.7
35,,open_prices,16.7,20.0,20.0,25.0,81.7
36,Véritables cardons lyonnais,open_prices,25.0,20.0,20.0,25.0,90.0
37,,open_prices,16.7,20.0,20.0,25.0,81.7
38,Foie Gras,open_prices,25.0,20.0,20.0,25.0,90.0
39,,open_prices,16.7,20.0,20.0,25.0,81.7
40,,open_prices,16.7,20.0,20.0,25.0,81.7
41,,open_prices,16.7,20.0,20.0,25.0,81.7
42,Blonde,open_prices,25.0,20.0,20.0,25.0,90.0
