code,original_name,original_brand,original_categories,original_ingredients,completeness,product_name,brands,quantity,categories,allergens,ingredients_text,nutrition_grades,labels,clean_name,clean_brand,primary_category,dietary_tags,allergens_extracted,is_organic,enrichment_status,enriched_by_llm,dq_score_pre,rule_transforms,llm_transforms,all_transforms,duplicate_group_id,canonical,duplicate_score,dq_score_post
16000275287,Cheerios,Cheerios,Breakfast Cereals,"Whole grain oats, corn starch, sugar, salt, tripotassium phosphate, vitamin e (mixed tocopherols) added to preserve freshness,vitamins and minerals: calcium carbonate, iron and zinc (mineral nutrients), vitamin c (sodium ascorbate), a b vitamin (niacinamide), vitamin b6 (pyridoxine hydrochloride), v",0.75,Cheerios,Cheerios,18 oz (510 g),Breakfast Cereals,"en:gluten,en:Corn","Whole grain oats, corn starch, sugar, salt, tripotassium phosphate, vitamin e (mixed tocopherols) added to preserve freshness,vitamins and minerals: calcium carbonate, iron and zinc (mineral nutrients), vitamin c (sodium ascorbate), a b vitamin (niacinamide), vitamin b6 (pyridoxine hydrochloride), vitamin a (palmitate), vitamin b1 (thiamin mononitrate), a b vitamin (folic acid), vitamin b12, vitamin d3",c,"Kosher, en:Orthodox Union Kosher, en:vitamin-b12-source",Cheerios,Cheerios,Breakfast Cereals,,"en:gluten,en:Corn",false,skipped_complete,False,90.0,"categories: extracted primary 'Breakfast Cereals' from 'Plant-based foods and beverages,Plant-based foods,Breakfasts'",,"categories: extracted primary 'Breakfast Cereals' from 'Plant-based foods and beverages,Plant-based foods,Breakfasts'",0.0,True,94.21686553955078,90.0
16000487925,Chex cereal honey nut gluten free,"General Mills,Chex",Extruded Cereals,"whole grain corn, corn meal,sugar, corn starch, honey,salt, molasses, canola oil, baking soda, natural flavor, natural almond flavor, vitamin e (mixed tocopherols) added to preserve freshness, vitamins and minerals: calcium carbonate, zinc and iron (mineral nutrients), vitamin c (sodium ascorbate), ",0.7875,Chex cereal honey nut gluten free,"General Mills,Chex",1,Extruded Cereals,nan,"whole grain corn, corn meal,sugar, corn starch, honey,salt, molasses, canola oil, baking soda, natural flavor, natural almond flavor, vitamin e (mixed tocopherols) added to preserve freshness, vitamins and minerals: calcium carbonate, zinc and iron (mineral nutrients), vitamin c (sodium ascorbate), a b vitamin (niacinamide), vitamin be (pyridoxine hydrochloride), vitamin b1 (thiamin mononitrate), vitamin a (palmitate), vitamin b2 (riboflavin), a b vitamin (folic acid), vitamin b12, vitamin d3, contains almond ingredients",unknown,No gluten,Honey Nut Chex Cereal,General Mills,Breakfast Cereal,gluten-free,tree nuts,false,success,True,70.0,"categories: extracted primary 'Extruded Cereals' from 'Plant-based foods and beverages, Plant-based foods, Breakfas'",,"categories: extracted primary 'Extruded Cereals' from 'Plant-based foods and beverages, Plant-based foods, Breakfas'",,,,80.0
38000138416,Original,Pringles,Chips De Patatas Fritas Onduladas,"DRIED POTATOES, VEGETABLE OIL (CORN, COTTONSEED, HIGH OLEIC SOYBEAN, SUNFLOWER OIL), DEGERMINATED YELLOW CORN FLOUR, CORNSTARCH, RICE FLOUR, MALTODEXTRIN, MONO -  AND DIGLYCERIDES, SALT, WHEAT STARCH.",0.9875,Original,Pringles,5.2 oz,Chips De Patatas Fritas Onduladas,"en:gluten,en:soybeans","DRIED POTATOES, VEGETABLE OIL (CORN, COTTONSEED, HIGH OLEIC SOYBEAN, SUNFLOWER OIL), DEGERMINATED YELLOW CORN FLOUR, CORNSTARCH, RICE FLOUR, MALTODEXTRIN, MONO -  AND DIGLYCERIDES, SALT, WHEAT STARCH.",d,"Kosher,Contiene OMG,Unión Ortodoxa Kosher",Original,Pringles,Chips De Patatas Fritas Onduladas,,"en:gluten,en:soybeans",false,skipped_complete,False,100.0,"categories: extracted primary 'Chips De Patatas Fritas Onduladas' from 'Alimentos y bebidas de origen vegetal,Alimentos de origen ve'",,"categories: extracted primary 'Chips De Patatas Fritas Onduladas' from 'Alimentos y bebidas de origen vegetal,Alimentos de origen ve'",,,,100.0
44000032159,Bits cheese cracker sandwiches go-pak,"Ritz, Nabisco",Biscuits,"Unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate {vitamin b1}, riboflavin {vitamin b2}, folic acid), canola oil, palm oil, sugar, whey, leavening (baking soda and/or calcium phosphate), cheddar cheese powder (pasteurized milk, cheese cultures, salt, enzymes), salt, ",0.5875,Bits cheese cracker sandwiches go-pak,"Ritz, Nabisco",nan,Biscuits,"en:gluten,en:milk,en:peanuts","Unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate {vitamin b1}, riboflavin {vitamin b2}, folic acid), canola oil, palm oil, sugar, whey, leavening (baking soda and/or calcium phosphate), cheddar cheese powder (pasteurized milk, cheese cultures, salt, enzymes), salt, sodium phosphate, natural flavor, soy lecithin, yeast extract, cornstarch, turmeric and annatto extracts (for color). peanut.",unknown,Arômes naturels,Bits cheese cracker sandwiches go-pak,"Ritz, Nabisco",Biscuits,,"en:gluten,en:milk,en:peanuts",false,skipped_complete,False,70.0,"categories: extracted primary 'Biscuits' from 'Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits'",,"categories: extracted primary 'Biscuits' from 'Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits'",,,,70.0
49000006346,Coca cola can cokes LG,Coca Cola,nan,"carbonated water, high fructose corn syrup, caramel color, phosphoric acid, natural flavors, caffeine",0.5625,Coca cola can cokes LG,Coca Cola,355 g,nan,nan,"carbonated water, high fructose corn syrup, caramel color, phosphoric acid, natural flavors, caffeine",unknown,nan,Coca Cola,Coca Cola,Beverage,,,false,success,True,60.0,brands: 'Coca cola' -> 'Coca Cola'; quantity: '355g' -> '355 g',,brands: 'Coca cola' -> 'Coca Cola'; quantity: '355g' -> '355 g',,,,80.0
9800895007,Hazelnut Spread with Cocoa,Nutella,Cocoa And Hazelnuts Spreads,"sugar, palm oil, hazelnuts, skim milk, cocoa, lecithin as emulsifier (soy), vanillin: an artificial flavor,",0.8,Hazelnut Spread with Cocoa,Nutella,13 oz,Cocoa And Hazelnuts Spreads,"en:milk,en:nuts,en:soybeans","sugar, palm oil, hazelnuts, skim milk, cocoa, lecithin as emulsifier (soy), vanillin: an artificial flavor,",e,No gluten,Hazelnut Spread with Cocoa,Nutella,Cocoa And Hazelnuts Spreads,,"en:milk,en:nuts,en:soybeans",false,skipped_complete,False,100.0,"quantity: '13oz' -> '13 oz'; categories: extracted primary 'Cocoa And Hazelnuts Spreads' from 'Plant-based foods and beverages, Plant-based foods, Breakfas'",,"quantity: '13oz' -> '13 oz'; categories: extracted primary 'Cocoa And Hazelnuts Spreads' from 'Plant-based foods and beverages, Plant-based foods, Breakfas'",1.0,True,90.54393005371094,100.0
21000658831,Mac & Cheese,Kraft,Macaroni And Cheese,"ENRICHED MACARONI (WHEAT FLOUR, DURUM FLOUR, NIACIN, FERROUS SULFATE [IRON], THIAMIN MONONITRATE [VITAMIN B1], RIBOFLAVIN [VITAMIN B2], FOLIC ACID), CHEESE SAUCE MIX (WHEY, MILKFAT, SALT, MILK PROTEIN CONCENTRATE, SODIUM TRIPHOSPHATE, TAPIOCA FLOUR, CITRIC ACID, CALCIUM PHOSPHATE, SODIUM PHOSPHATE, ",1.0,Mac & Cheese,Kraft,7.25 oz,Macaroni And Cheese,"en:gluten,en:milk,en:Lactic","ENRICHED MACARONI (WHEAT FLOUR, DURUM FLOUR, NIACIN, FERROUS SULFATE [IRON], THIAMIN MONONITRATE [VITAMIN B1], RIBOFLAVIN [VITAMIN B2], FOLIC ACID), CHEESE SAUCE MIX (WHEY, MILKFAT, SALT, MILK PROTEIN CONCENTRATE, SODIUM TRIPHOSPHATE, TAPIOCA FLOUR, CITRIC ACID, CALCIUM PHOSPHATE, SODIUM PHOSPHATE, LACTIC ACID, PAPRIKA, TURMERIC, ANNATTO, CHEESE CULTURE, ENZYMES)",a,"No artificial flavors,No preservatives,No dyes",Mac & Cheese,Kraft,Macaroni And Cheese,,"en:gluten,en:milk,en:Lactic",false,skipped_complete,False,100.0,"product_name: 'mac & cheese' -> 'Mac & Cheese'; quantity: '7.25oz' -> '7.25 oz'; categories: extracted primary 'Macaroni And Cheese' from 'Meals,Pasta dishes,Pastas,Macaroni and cheese'",,"product_name: 'mac & cheese' -> 'Mac & Cheese'; quantity: '7.25oz' -> '7.25 oz'; categories: extracted primary 'Macaroni And Cheese' from 'Meals,Pasta dishes,Pastas,Macaroni and cheese'",2.0,True,94.99174499511719,100.0
8076809513753,PESTO alla Genovese,Barilla,Pestos Au Basilic,"sunflower oil, fresh basil 30%, cashew nuts, parmigiano reggiano pdo cheese 5%, (milk), maize fibre, whey powder (milk), salt, milk protein, extra virgin olive oil, sugar, basil extract, natural flavourings (milk), acidity regulator: lactic acid, garlic",0.9,PESTO alla Genovese,Barilla,190 g e,Pestos Au Basilic,"en:milk,en:nuts","sunflower oil, fresh basil 30%, cashew nuts, parmigiano reggiano pdo cheese 5%, (milk), maize fibre, whey powder (milk), salt, milk protein, extra virgin olive oil, sugar, basil extract, natural flavourings (milk), acidity regulator: lactic acid, garlic",e,"Sans gluten,AOP,Triman,ISCC Plus,Produit en Italie",PESTO alla Genovese,Barilla,Pestos Au Basilic,,"en:milk,en:nuts",false,skipped_complete,False,90.0,"categories: extracted primary 'Pestos Au Basilic' from 'Condiments,Sauces,Sauces pour pâtes,Sauces Pesto,en:Cooking '",,"categories: extracted primary 'Pestos Au Basilic' from 'Condiments,Sauces,Sauces pour pâtes,Sauces Pesto,en:Cooking '",,,,90.0
5060292302201,Potato Snacks,Popchips,Puffed Salty Snacks Made From Potato,"Dried Potato, Rice Flour, Sunflower Oil, Barbeque Flavour [Sugar, Dried Yeast, Potassium Chloride, Dried Onion, Natural Flavourings, Dried Garlic, Ground Spices (Smoked Paprika, Red Chilli Pepper), Salt, Dried Tomato, Dextrose, Acid: Citric Acid, Smoked Sea Salt, Colour: Paprika Extract, Antioxidant",0.9,Potato Snacks,Popchips,23 g,Puffed Salty Snacks Made From Potato,en:milk,"Dried Potato, Rice Flour, Sunflower Oil, Barbeque Flavour [Sugar, Dried Yeast, Potassium Chloride, Dried Onion, Natural Flavourings, Dried Garlic, Ground Spices (Smoked Paprika, Red Chilli Pepper), Salt, Dried Tomato, Dextrose, Acid: Citric Acid, Smoked Sea Salt, Colour: Paprika Extract, Antioxidant: Rosemary Extract], Potato Starch, Salt.",c,"Vegetarian,No preservatives,No artificial anything",Potato Snacks,Popchips,Puffed Salty Snacks Made From Potato,,en:milk,false,skipped_complete,False,100.0,product_name: 'potato snacks' -> 'Potato Snacks'; brands: 'popchips' -> 'Popchips'; categories: 'Puffed salty snacks made from potato' -> 'Puffed Salty Snacks Made From Potato',,product_name: 'potato snacks' -> 'Potato Snacks'; brands: 'popchips' -> 'Popchips'; categories: 'Puffed salty snacks made from potato' -> 'Puffed Salty Snacks Made From Potato',,,,100.0
30000169018,LIGHTLY SALTED RICE CAKES,Quaker,Rice-Cakes,"Whole grain brown rice, salt",0.6875,LIGHTLY SALTED RICE CAKES,Quaker,127 g,Rice-Cakes,nan,"Whole grain brown rice, salt",a,No gluten,Lightly Salted Rice Cakes,Quaker,Snack,"gluten-free, vegan, vegetarian, low-sodium",,false,success,True,90.0,"brands: 'QUAKER' -> 'Quaker'; quantity: '127g' -> '127 g'; categories: extracted primary 'Rice-Cakes' from 'Plant-based foods and beverages,Plant-based foods,Cereals an'",,"brands: 'QUAKER' -> 'Quaker'; quantity: '127g' -> '127 g'; categories: extracted primary 'Rice-Cakes' from 'Plant-based foods and beverages,Plant-based foods,Cereals an'",,,,90.0
