off_code,off_name,off_brand,off_clean_name,usda_fdc_id,usda_name,usda_brand,usda_category,usda_ingredients,match_score,match_quality
16000275287,Cheerios,Cheerios,Cheerios,2517161,Cheerios Cereal,General Mills,Processed Cereal Products,"WHOLE GRAIN OATS, CORN STARCH, SUGAR, SALT, TRIPOTASSIUM PHOSPHATE. VITAMIN E (MIXED TOCOPHEROLS) ADDED TO PRESERVE FRESHNESS.VITAMINS AND MINERALS: CALCIUM CARBONATE, IRON AND ZINC (MINERAL NUTRIENTS",62.6,medium
16000487925,Chex cereal honey nut gluten free,"General Mills,Chex",Honey Nut Chex Cereal,2517161,Cheerios Cereal,General Mills,Processed Cereal Products,"WHOLE GRAIN OATS, CORN STARCH, SUGAR, SALT, TRIPOTASSIUM PHOSPHATE. VITAMIN E (MIXED TOCOPHEROLS) ADDED TO PRESERVE FRESHNESS.VITAMINS AND MINERALS: CALCIUM CARBONATE, IRON AND ZINC (MINERAL NUTRIENTS",73.1,high
38000138416,Original,Pringles,Original,2112077,FROSTED FLAKES CEREAL,Raley's,Cereal,"MILLED CORN, SUGAR, SALT, MALTED BARLEY SYRUP. VITAMINS AND MINERALS: SODIUM ASCORBATE (VITAMIN C), REDUCED IRON, NIACINAMIDE, PYRIDOXINE HYDROCHLORIDE (VITAMIN B6), RIBOFLAVIN (VITAMIN B2), THIAMIN M",17.2,low
44000032159,Bits cheese cracker sandwiches go-pak,"Ritz, Nabisco",Ritz Bits Cheese Cracker Sandwiches,1592690,"KRAFT, MACARONI & CHEESE DINNER",Kraft Heinz Foods Company,Pasta Dinners,"PASTA (ENRICHED WHEAT FLOUR [WHEAT FLOUR, NIACIN, FERROUS SULFATE (IRON), THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID], WHOLE WHEAT FLOUR, GLYCEROL MONOSTEARATE); CHEESE SAUC",40.9,low
49000006346,Coca cola can cokes LG,Coca cola,Coca Cola,2678649,"COCA-COLA, COLA",Coca-Cola USA Operations,Soda,"CARBONATED WATER, HIGH FRUCTOSE CORN SYRUP, CARAMEL COLOR, PHOSPHORIC ACID, NATURAL FLAVORS, CAFFEINE. ",69.7,medium
9800895007,Hazelnut Spread with Cocoa,Nutella,Hazelnut Spread with Cocoa,2008989,"SKIPPY, PEANUT BUTTER SPREAD WITH HONEY",Unilever Bestfoods North America,Nut & Seed Butters,"PEANUT BUTTER, SPREAD (ROASTED PEANUTS, PALM OIL, PEANUT OIL, SALT), SUGAR, HONEY.",44.9,low
21000658831,mac & cheese,Kraft,Mac and Cheese,2675215,"KRAFT, SHARP CHEDDAR CHEESE",Kraft Heinz Foods Company,Cheese,"PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES, ANNATTO (COLOR).",45.0,low
8076809513753,PESTO alla Genovese,Barilla,Pesto alla Genovese,2634359,"BARILLA, ORGANIC, PENNE PASTA",Barilla G & R F.Lli S.P.A.,Pasta by Shape & Type,"ORGANIC SEMOLINA (WHEAT), ORGANIC DURUM WHEAT FLOUR. VITAMINS/MINERALS: VITAMIN B3 (NIACIN), IRON (FERROUS SULFATE), VITAMIN B1 (THIAMINE MONONITRATE), VITAMIN B2 (RIBOFLAVIN), FOLIC ACID.",49.3,low
5060292302201,potato snacks,popchips,Potato Snacks,2699981,"Prego Classic Pasta Sauce, 18.5 Oz Can",CAMPBELL SOUP COMPANY,Sauces/Spreads/Dips/Condiments,"INGREDIENTS: TOMATO PUREE (WATER, TOMATO PASTE), WATER, SUGAR, CONTAINS LESS THAN 2% OF: WHEAT FLOUR, MODIFIED FOOD STARCH, SALT, VEGETABLE OIL (CORN, CANOLA, AND/OR SOYBEAN), SPICES, CITRIC ACID, ONI",35.2,low
30000169018,LIGHTLY SALTED RICE CAKES,QUAKER,Lightly Salted Rice Cakes,2112077,FROSTED FLAKES CEREAL,Raley's,Cereal,"MILLED CORN, SUGAR, SALT, MALTED BARLEY SYRUP. VITAMINS AND MINERALS: SODIUM ASCORBATE (VITAMIN C), REDUCED IRON, NIACINAMIDE, PYRIDOXINE HYDROCHLORIDE (VITAMIN B6), RIBOFLAVIN (VITAMIN B2), THIAMIN M",43.8,low
30000436073,"Simply Granola Oats, Honey, Raisins & Almonds",Quaker,"Granola Oats with Honey, Raisins, and Almonds",2008989,"SKIPPY, PEANUT BUTTER SPREAD WITH HONEY",Unilever Bestfoods North America,Nut & Seed Butters,"PEANUT BUTTER, SPREAD (ROASTED PEANUTS, PALM OIL, PEANUT OIL, SALT), SUGAR, HONEY.",40.5,low
30000169476,Chocolate Rice Cakes,Quaker,Chocolate Rice Cakes,2089201,"HERSHEY'S, CHOCOLATE CAKE","Wal-Mart Stores, Inc.","Cakes, Cupcakes, Snack Cakes","SUGAR, HERSHEY'S SPECIAL DARK SYRUP (HIGH FRUCTOSE CORN SYRUP, CORN SYRUP, WATER, COCOA PROCESSED WITH ALKALI, SUGAR, SALT, MONO- AND DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 60, ARTIFICIAL FLAVOR), ENR",60.4,medium
30000169001,Apple Cinnamon Rice Cakes,Quaker,Apple Cinnamon Rice Cakes,360010,FROSTED FLAKES CEREAL,Harris-Teeter Inc.,Cereal,"MILLED CORN, SUGAR, CONTAINS 2% OR LESS OF: SALT, MALT EXTRACT, CORN SYRUP, WHEAT STARCH. VITAMINS & MINERALS: VITAMIN B1 (THIAMIN MONONITRATE), VITAMIN B2 (RIBOFLAVIN), NIACIN (NIACINAMIDE), VITAMIN ",41.5,low
30000169100,CARAMEL RICE CAKES,QUAKER,Caramel Rice Cakes,2089201,"HERSHEY'S, CHOCOLATE CAKE","Wal-Mart Stores, Inc.","Cakes, Cupcakes, Snack Cakes","SUGAR, HERSHEY'S SPECIAL DARK SYRUP (HIGH FRUCTOSE CORN SYRUP, CORN SYRUP, WATER, COCOA PROCESSED WITH ALKALI, SUGAR, SALT, MONO- AND DIGLYCERIDES, XANTHAN GUM, POLYSORBATE 60, ARTIFICIAL FLAVOR), ENR",43.8,low
1201303,Pepsi,Pepsi,Pepsi,1458066,Diet Pepsi Cola 2 Liter Plastic Bottle,Pepsico Inc.,Non Alcoholic Beverages  Ready to Drink,"INGREDIENTS: CARBONATED WATER, CARAMEL COLOR, PHOSPHORIC ACID, POTASSIUM BENZOATE (PRESERVES FRESHNESS), SUCRALOSE, ACESULFAME POTASSIUM, CAFFEINE, NATURAL FLAVOR, CITRIC ACID.",39.9,low
