product_id,name,brand,category,ingredients,dietary_tags,allergens,is_organic,completeness,usda_category,usda_ingredients,match_score,source,enriched
16000275287,Cheerios,Cheerios,Breakfast Cereal,"Whole grain oats, corn starch, sugar, salt, tripotassium phosphate, vitamin e (mixed tocopherols) added to preserve freshness,vitamins and minerals: calcium carbonate, iron and zinc (mineral nutrients), vitamin c (sodium ascorbate), a b vitamin (niacinamide), vitamin b6 (pyridoxine hydrochloride), v",vegetarian,,False,0.75,Processed Cereal Products,"WHOLE GRAIN OATS, CORN STARCH, SUGAR, SALT, TRIPOTASSIUM PHOSPHATE. VITAMIN E (MIXED TOCOPHEROLS) ADDED TO PRESERVE FRESHNESS.VITAMINS AND MINERALS: CALCIUM CARBONATE, IRON AND ZINC (MINERAL NUTRIENTS), VITAMIN C (SODIUM ASCORBATE), A B VITAMIN (NIACINAMIDE), VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE), V",62.6,off,True
16000487925,Honey Nut Chex Cereal,General Mills,Breakfast Cereal,"whole grain corn, corn meal,sugar, corn starch, honey,salt, molasses, canola oil, baking soda, natural flavor, natural almond flavor, vitamin e (mixed tocopherols) added to preserve freshness, vitamins and minerals: calcium carbonate, zinc and iron (mineral nutrients), vitamin c (sodium ascorbate), ",gluten-free,tree nuts,False,0.7875,Processed Cereal Products,"WHOLE GRAIN OATS, CORN STARCH, SUGAR, SALT, TRIPOTASSIUM PHOSPHATE. VITAMIN E (MIXED TOCOPHEROLS) ADDED TO PRESERVE FRESHNESS.VITAMINS AND MINERALS: CALCIUM CARBONATE, IRON AND ZINC (MINERAL NUTRIENTS), VITAMIN C (SODIUM ASCORBATE), A B VITAMIN (NIACINAMIDE), VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE), V",73.1,off,True
38000138416,Original,Pringles,Snack,"DRIED POTATOES, VEGETABLE OIL (CORN, COTTONSEED, HIGH OLEIC SOYBEAN, SUNFLOWER OIL), DEGERMINATED YELLOW CORN FLOUR, CORNSTARCH, RICE FLOUR, MALTODEXTRIN, MONO -  AND DIGLYCERIDES, SALT, WHEAT STARCH.",,"wheat, soy",False,0.9875,,,17.2,off,True
44000032159,Ritz Bits Cheese Cracker Sandwiches,Nabisco,Snack,"Unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate {vitamin b1}, riboflavin {vitamin b2}, folic acid), canola oil, palm oil, sugar, whey, leavening (baking soda and/or calcium phosphate), cheddar cheese powder (pasteurized milk, cheese cultures, salt, enzymes), salt, ",,"milk, wheat",False,0.5875,,,40.9,off,True
49000006346,Coca Cola,Coca Cola,Beverage,"carbonated water, high fructose corn syrup, caramel color, phosphoric acid, natural flavors, caffeine",,,False,0.5625,Soda,"CARBONATED WATER, HIGH FRUCTOSE CORN SYRUP, CARAMEL COLOR, PHOSPHORIC ACID, NATURAL FLAVORS, CAFFEINE. ",69.7,off,True
9800895007,Hazelnut Spread with Cocoa,Nutella,Condiment,"sugar, palm oil, hazelnuts, skim milk, cocoa, lecithin as emulsifier (soy), vanillin: an artificial flavor,",vegetarian,"milk, soy, tree nuts",False,0.8,,,44.9,off,True
21000658831,Mac and Cheese,Kraft,Pasta,"ENRICHED MACARONI (WHEAT FLOUR, DURUM FLOUR, NIACIN, FERROUS SULFATE [IRON], THIAMIN MONONITRATE [VITAMIN B1], RIBOFLAVIN [VITAMIN B2], FOLIC ACID), CHEESE SAUCE MIX (WHEY, MILKFAT, SALT, MILK PROTEIN CONCENTRATE, SODIUM TRIPHOSPHATE, TAPIOCA FLOUR, CITRIC ACID, CALCIUM PHOSPHATE, SODIUM PHOSPHATE, ",,"milk, wheat",False,1.0,,,45.0,off,True
8076809513753,Pesto alla Genovese,Barilla,Condiment,"sunflower oil, fresh basil 30%, cashew nuts, parmigiano reggiano pdo cheese 5%, (milk), maize fibre, whey powder (milk), salt, milk protein, extra virgin olive oil, sugar, basil extract, natural flavourings (milk), acidity regulator: lactic acid, garlic",,"milk, tree nuts",False,0.9,,,49.3,off,True
5060292302201,Potato Snacks,Popchips,Snack,"Dried Potato, Rice Flour, Sunflower Oil, Barbeque Flavour [Sugar, Dried Yeast, Potassium Chloride, Dried Onion, Natural Flavourings, Dried Garlic, Ground Spices (Smoked Paprika, Red Chilli Pepper), Salt, Dried Tomato, Dextrose, Acid: Citric Acid, Smoked Sea Salt, Colour: Paprika Extract, Antioxidant",vegetarian,,False,0.9,,,35.2,off,True
30000169018,Lightly Salted Rice Cakes,Quaker,Snack,"Whole grain brown rice, salt","vegan, vegetarian, gluten-free",,False,0.6875,,,43.8,off,True
