code,product_name,brands,categories,ingredients_text,quantity,nutrition_grades,nutriscore_score,nova_group,ecoscore_grade,completeness,allergens,labels,image_url,stores,countries,last_modified_t,source
16000275287,Cheerios,Cheerios,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals","Whole grain oats, corn starch, sugar, salt, tripotassium phosphate, vitamin e (mixed tocopherols) added to preserve freshness,vitamins and minerals: calcium carbonate, iron and zinc (mineral nutrients), vitamin c (sodium ascorbate), a b vitamin (niacinamide), vitamin b6 (pyridoxine hydrochloride), vitamin a (palmitate), vitamin b1 (thiamin mononitrate), a b vitamin (folic acid), vitamin b12, vitamin d3",18 oz (510 g),c,8.0,,c,0.75,"en:gluten,en:Corn","Kosher, en:Orthodox Union Kosher, en:vitamin-b12-source",https://images.openfoodfacts.org/images/products/001/600/027/5287/front_en.8.400.jpg,Safeway,United States,1772637584,off
16000487925,Chex cereal honey nut gluten free,"General Mills,Chex","Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, extruded cereals","whole grain corn, corn meal,sugar, corn starch, honey,salt, molasses, canola oil, baking soda, natural flavor, natural almond flavor, vitamin e (mixed tocopherols) added to preserve freshness, vitamins and minerals: calcium carbonate, zinc and iron (mineral nutrients), vitamin c (sodium ascorbate), a b vitamin (niacinamide), vitamin be (pyridoxine hydrochloride), vitamin b1 (thiamin mononitrate), vitamin a (palmitate), vitamin b2 (riboflavin), a b vitamin (folic acid), vitamin b12, vitamin d3, contains almond ingredients",1,unknown,,4.0,c,0.7875,,No gluten,https://images.openfoodfacts.org/images/products/001/600/048/7925/front_en.19.400.jpg,,United States,1772637557,off
38000138416,Original,Pringles,"Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Botanas,Cereales y patatas,Snacks salados,Aperitivos,en:Chips and fries,Chips fritos,en:Potatoes and their products,Chips de patatas fritas,Chips de patatas fritas en aceite de girasol,Chips de patatas fritas onduladas","DRIED POTATOES, VEGETABLE OIL (CORN, COTTONSEED, HIGH OLEIC SOYBEAN, SUNFLOWER OIL), DEGERMINATED YELLOW CORN FLOUR, CORNSTARCH, RICE FLOUR, MALTODEXTRIN, MONO -  AND DIGLYCERIDES, SALT, WHEAT STARCH.",5.2 oz,d,11.0,4.0,b,0.9875,"en:gluten,en:soybeans","Kosher,Contiene OMG,Unión Ortodoxa Kosher",https://images.openfoodfacts.org/images/products/003/800/013/8416/front_en.140.400.jpg,"Farmacorp,IC Norte,ShopRite,חביב","Bolivia,France,Germany,Hong Kong,United States,ISRAEL",1773264947,off
44000032159,Bits cheese cracker sandwiches go-pak,"Ritz, Nabisco","Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits","Unbleached enriched flour (wheat flour, niacin, reduced iron, thiamine mononitrate {vitamin b1}, riboflavin {vitamin b2}, folic acid), canola oil, palm oil, sugar, whey, leavening (baking soda and/or calcium phosphate), cheddar cheese powder (pasteurized milk, cheese cultures, salt, enzymes), salt, sodium phosphate, natural flavor, soy lecithin, yeast extract, cornstarch, turmeric and annatto extracts (for color). peanut.",,unknown,,4.0,d,0.5875,"en:gluten,en:milk,en:peanuts",Arômes naturels,https://images.openfoodfacts.org/images/products/004/400/003/2159/front_fr.13.400.jpg,,"en:GP, United States",1686527335,off
49000006346,Coca cola can cokes LG,Coca cola,,"carbonated water, high fructose corn syrup, caramel color, phosphoric acid, natural flavors, caffeine",355g,unknown,,4.0,unknown,0.5625,,,https://images.openfoodfacts.org/images/products/004/900/000/6346/front_en.16.400.jpg,,en:Saint Martin,1737165326,off
9800895007,Hazelnut Spread with Cocoa,Nutella,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Fats, Spreads, Sweet spreads, Vegetable fats, fr:Pâtes à tartiner, Hazelnut spreads, Chocolate spreads, Cocoa and hazelnuts spreads","sugar, palm oil, hazelnuts, skim milk, cocoa, lecithin as emulsifier (soy), vanillin: an artificial flavor,",13oz,e,23.0,4.0,e,0.8,"en:milk,en:nuts,en:soybeans",No gluten,https://images.openfoodfacts.org/images/products/000/980/089/5007/front_en.77.400.jpg,"7eleven,CTown Supermarkets","United States, Germany",1774630243,off
21000658831,mac & cheese,Kraft,"Meals,Pasta dishes,Pastas,Macaroni and cheese","ENRICHED MACARONI (WHEAT FLOUR, DURUM FLOUR, NIACIN, FERROUS SULFATE [IRON], THIAMIN MONONITRATE [VITAMIN B1], RIBOFLAVIN [VITAMIN B2], FOLIC ACID), CHEESE SAUCE MIX (WHEY, MILKFAT, SALT, MILK PROTEIN CONCENTRATE, SODIUM TRIPHOSPHATE, TAPIOCA FLOUR, CITRIC ACID, CALCIUM PHOSPHATE, SODIUM PHOSPHATE, LACTIC ACID, PAPRIKA, TURMERIC, ANNATTO, CHEESE CULTURE, ENZYMES)",7.25oz,a,0.0,4.0,unknown,1.0,"en:gluten,en:milk,en:Lactic","No artificial flavors,No preservatives,No dyes",https://images.openfoodfacts.org/images/products/002/100/065/8831/front_en.226.400.jpg,"Netto,Walmart,Amazon,Tops Friendly Markets,Safeway,Target","en:france, en:united-kingdom, en:united-states, en:germany",1773430084,off
8076809513753,PESTO alla Genovese,Barilla,"Condiments,Sauces,Sauces pour pâtes,Sauces Pesto,en:Cooking Sauces,Pestos au basilic","sunflower oil, fresh basil 30%, cashew nuts, parmigiano reggiano pdo cheese 5%, (milk), maize fibre, whey powder (milk), salt, milk protein, extra virgin olive oil, sugar, basil extract, natural flavourings (milk), acidity regulator: lactic acid, garlic",190 g e,e,27.0,4.0,d,0.9,"en:milk,en:nuts","Sans gluten,AOP,Triman,ISCC Plus,Produit en Italie",https://images.openfoodfacts.org/images/products/807/680/951/3753/front_en.347.400.jpg,"carrefour.fr,Denner AG,Carrefour,Super U,Coop Obs","Australia, Belgium, France, Germany, Morocco, Norway, Poland, Serbia, Sweden, Switzerland, Turkey, United Kingdom, United States, en:luxembourg",1774672530,off
5060292302201,potato snacks,popchips,Puffed salty snacks made from potato,"Dried Potato, Rice Flour, Sunflower Oil, Barbeque Flavour [Sugar, Dried Yeast, Potassium Chloride, Dried Onion, Natural Flavourings, Dried Garlic, Ground Spices (Smoked Paprika, Red Chilli Pepper), Salt, Dried Tomato, Dextrose, Acid: Citric Acid, Smoked Sea Salt, Colour: Paprika Extract, Antioxidant: Rosemary Extract], Potato Starch, Salt.",23 g,c,10.0,4.0,b,0.9,en:milk,"Vegetarian,No preservatives,No artificial anything",https://images.openfoodfacts.org/images/products/506/029/230/2201/front_en.23.400.jpg,,"France,United Kingdom",1774110249,off
30000169018,LIGHTLY SALTED RICE CAKES,QUAKER,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Puffed cereal cakes,Puffed rice cakes,Rice-cakes","Whole grain brown rice, salt",127g,a,0.0,3.0,b,0.6875,,No gluten,https://images.openfoodfacts.org/images/products/003/000/016/9018/front_en.200.400.jpg,,United States,1774991923,off
