recall_number,recall_description,recalling_firm,classification,reason,matched_product_code,matched_product_name,matched_source,match_score
F-0276-2017,"CytoDetox, Hydrolyzed Clinoptilolite Fragments, 1 oz./30 mL, OTC Non-Sterile.  Dietary supplement.",Pharmatech LLC,Class II,Recall initiated as a precautionary measure due to potential risk of product contamination with Burkholderia cepacia.,1999231,"COCA-COLA FLAVORED MINTS, COCA-COLA",usda,43.0
F-0865-2017,"Koi Palace Mini Moon Cake: Single Box - Mini Oolong Tea Paste  Unit Size 1/2 lb. and 1/4 lb. in circular box (1 piece) and rectangular boxes (4, 6 or 8 pieces).",Magic Gourmet Trading Inc,Class II,"Mooncake products, manufactured and distributed by Magic Gourmet Trading, Inc. of Milbrae, CA did not have adequate product labeling, including ingredient statements and allergen declaration. Undeclar",2641505,"COCA-COLA SODA, 12 FL OZ, 4 COUNT",usda,44.9
F-0609-2015,Crema GuateLinda (Guatemalan Style Cream) in individually soft poly/plastic bags labeled in part: Lacteos Santa Martha Crema GuateLinda Guatemalan Style Cream Net WT 1 LB (16 oz),"Oasis Brands, Inc",Class I,"Virginia State (VDACS) found Listeria monocytogenes in Lacteos Santa Martha Quesito Casero Fresh Curd (Best by 9/27/14), FDA made an inspection, were the environmental samples collected came up positi",2016665,"ACADEMIA BARILLA, FARFALLE BARILLA PASTA",usda,42.9
F-1922-2012,"Yellow Onion.  Product is labeled in part:  ""***FC Salsa Mango""***Refrigerate at 34 F***""      Item #   302940 FC SALSA MANGO 2/5#.        Product is fresh made - Ready To Eat.",FreshPoint South Florida,Class I,"FreshPoint South Florida is recalling sliced fresh yellow onions and salsa products processed using yellow onions sourced from Gills Onions, LLC which were recalled for Listeria monocytogenes.",2699981,"Prego Classic Pasta Sauce, 18.5 Oz Can",usda,41.1
F-0904-2020,"Pure Planet Organic Parasite Cleanse;  Net Wt. 174g Glass Jar;  Finished Product Item # 52700    Manufactured and Distributed by:  Pure Planet,  Rancho Dominguez, CA","Organic By Nature, Inc.",Class III,Firm was notified by supplier that Organic Ground Flaxseed powder was under recall by manufacturer due to unapproved herbicide - Haloxyfop,2193268,"COOKIES FILLED WITH NUTELLA HAZELNUT SPREAD BISCUITS, COOKIES FILLED WITH NUTELLA HAZELNUT SPREAD",usda,41.8
F-1578-2018,"Coffee Toffee - 4 oz. packages. UPC 6 55974 89001 2.    The label is read in parts: ""***Ingredients: butter (milk), sugar, bittersweet chocolate 60% (cocoa liquor, emulsifier, soya lecithin, vanilla),",Yukon Jackson,Class III,Coffee Toffee is recalled because pecan is listed on the Ingredients statement but it is not listed in the Contains statement.,2193268,"COOKIES FILLED WITH NUTELLA HAZELNUT SPREAD BISCUITS, COOKIES FILLED WITH NUTELLA HAZELNUT SPREAD",usda,41.8
F-0921-2020,"XinXing Dried Plum, Net Wt. 5.3 oz.(150g)",Rong Shing Trading NY Inc,Class III,"Product contains dried peaches, but front labeling of product stated dried plums",2699981,"Prego Classic Pasta Sauce, 18.5 Oz Can",usda,40.0
F-2326-2017,"Honey Bourbon Pecans Net Wt. 20 lb. (9.088g) Mfg. By: Trophy Nut Co. Tipp City, OH 45371",Trophy Nut Co Inc,Class II,The firm stated that the product contains undeclared allergens.,2654458,"CRISPY WAFER FILLED WITH NUTELLA HAZELNUT SPREAD WITH COCOA, HAZELNUT SPREAD WITH COCOA",usda,40.8
F-0777-2015,"Gourmet Mix Fruit Delight Net Wt. 64 oz. (1814g) Best If Enjoyed By: 12/03/14, Dist. By: Wegmans Food Markets, Inc., Rochester, NY 14603 UPC 077890241516","Del Monte Fresh Produce NA, Inc",Class I,Possible contamination with Listeria monocytogenes.,1898075,M&M'S MINIS,usda,40.9
F-1415-2015,"TranSmart Raspberry Filled frozen unbaked cookie dough, 108/1.75 oz. units, CSM Bakery Products, 3301 Montreal Industrial Way Tucker, GA 30084..",CSM Bakery Products NA-Atlanta Frozen,Class I,Undeclared Allergen; Peanuts.,2506892,"OREO VANILLA PUDDING WITH OREO COOKIE PIECES, OREO",usda,44.2
