fdc_id,description,brand_owner,brand_name,gtin_upc,ingredients,food_category,serving_size,serving_size_unit,published_date,source
2517161,Cheerios Cereal,General Mills,Cheerios,00016000275287,"WHOLE GRAIN OATS, CORN STARCH, SUGAR, SALT, TRIPOTASSIUM PHOSPHATE. VITAMIN E (MIXED TOCOPHEROLS) ADDED TO PRESERVE FRESHNESS.VITAMINS AND MINERALS: CALCIUM CARBONATE, IRON AND ZINC (MINERAL NUTRIENTS), VITAMIN C (SODIUM ASCORBATE), A B VITAMIN (NIACINAMIDE), VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE), VITAMIN A (PALMITATE), VITAMIN B1 (THIAMIN MONONITRATE), A B VITAMIN (FOLIC ACID), VITAMIN B12, VITAMIN D3.",Processed Cereal Products,20.0,GRM,2023-04-27,usda
2738631,Cheerios Cereal,GENERAL MILLS SALES INC.,Cheerios,00016000322622,"Whole Grain Oats, Corn Starch, Sugar, Salt, Tripotassium Phosphate. Vitamin E (mixed tocopherols) Added to Preserve Freshness.Vitamins and Minerals: Calcium Carbonate, Iron and Zinc (mineral nutrients), Vitamin C (sodium ascorbate), A B Vitamin (niacinamide), Vitamin B6 (pyridoxine hydrochloride), Vitamin A (palmitate), Vitamin B1 (thiamin mononitrate), A B Vitamin (folic acid), Vitamin B12, Vitamin D3.",Processed Cereal Products,28.0,GRM,2025-07-24,usda
759418,Cheerios Cereal,GENERAL MILLS SALES INC.,,00016000503687,"WHOLE GRAIN OATS, CORN STARCH, SUGAR, SALT, TRIPOTASSIUM PHOSPHATE. VITAMIN E (MIXED TOCOPHEROLS) ADDED TO PRESERVE FRESHNESS.VITAMINS AND MINERALS: CALCIUM CARBONATE, IRON AND ZINC (MINERAL NUTRIENTS), VITAMIN C (SODIUM ASCORBATE), A B VITAMIN (NIACINAMIDE), VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE), VITAMIN A (PALMITATE), VITAMIN B1 (THIAMIN MONONITRATE), A B VITAMIN (FOLIC ACID), VITAMIN B12, VITAMIN D3.",Processed Cereal Products,26.0,g,2020-02-27,usda
360010,FROSTED FLAKES CEREAL,Harris-Teeter Inc.,,072036977557,"MILLED CORN, SUGAR, CONTAINS 2% OR LESS OF: SALT, MALT EXTRACT, CORN SYRUP, WHEAT STARCH. VITAMINS & MINERALS: VITAMIN B1 (THIAMIN MONONITRATE), VITAMIN B2 (RIBOFLAVIN), NIACIN (NIACINAMIDE), VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE), FOLIC ACID, VITAMIN B12, VITAMIN A PALMITATE, VITAMIN C (SODIUM ASCORBATE), VITAMIN D, REDUCED IRON.",Cereal,31.0,g,2019-04-01,usda
2112077,FROSTED FLAKES CEREAL,Raley's,RALEY'S,046567021614,"MILLED CORN, SUGAR, SALT, MALTED BARLEY SYRUP. VITAMINS AND MINERALS: SODIUM ASCORBATE (VITAMIN C), REDUCED IRON, NIACINAMIDE, PYRIDOXINE HYDROCHLORIDE (VITAMIN B6), RIBOFLAVIN (VITAMIN B2), THIAMIN MONONITRATE (VITAMIN B1), VITAMIN A PALMITATE, FOLIC ACID, VITAMIN B12, VITAMIN D.",Cereal,29.0,g,2021-10-28,usda
2117854,FROSTED FLAKES CEREAL,"Post Consumer Brands, LLC",MALT O MEAL,042400259282,"MILLED CORN, SUGAR, CONTAINS 2% OR LESS OF: CORN SYRUP, SALT, BARLEY MALT EXTRACT, WHEAT STARCH. VITAMINS AND MINERALS: FERRIC ORTHOPHOSPHATE (SOURCE OF IRON), NIACINAMIDE (VITAMIN B3), ZINC OXIDE (SOURCE OF ZINC), THIAMIN MONONITRATE (VITAMIN B1), CALCIUM PANTOTHENATE (A B-VITAMIN), PYRIDOXINE HYDROCHLORIDE (VITAMIN B6), FOLIC ACID.",Cereal,41.0,g,2021-10-28,usda
2595408,"QUAKER OAT FLOUR, 20 OZ",The Quaker Oats Company,QUAKER,0030000575918,WHOLE GRAIN OAT FLOUR,Flours & Corn Meal,30.0,GRM,2023-07-13,usda
2595409,"QUAKER OAT FLOUR, 64 OZ",The Quaker Oats Company,QUAKER,0030000575932,WHOLE GRAIN OAT FLOUR,Flours & Corn Meal,30.0,GRM,2023-07-13,usda
2723877,Quaker Oats Old Fashioned 42 Oz,PepsiCo Inc. Brand Owner,Quaker,00030000010402,Whole Grain Rolled Oats.,Grains/Flour,40.0,GRM,2025-03-20,usda
770088,OREO COOKIES,,,07622300688455,"Ingredients: WHEAT flour, sugar, vegetable oils (palm, palm kernel), fat reduced cocoa powder 4,6%, WHEAT starch, glucose-fructose syrup, raising agents (potassium hydrogen carbonate, ammonium hydrogen carbonate, sodium hydrogen carbonate), salt, emulsifiers (SOYA lecithin, sunflower lecithin), flavouring. MAY CONTAIN MILK.",Biscuits/Cookies,100.0,g,2020-02-27,usda
2670912,"OREO FROSTED COOKIES, OREO",,KIMBERLEY'S BAKESHOPPE,770981301990,"BLEACHED ENRICHED WHEAT FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), ICING SUGAR (SUGAR, CORNSTARCH), MARGARINE (SOYBEAN OIL, PALM OIL, WATER, SALT, WHEY [MILK], SOYBEAN LECITHIN, MONOGLYCERIDES, NATURAL FLAVOR, VITAMIN A PALMITATE, VITAMIN D3), SUGAR, WATER, EGGS, COCOA POWDER (PROCESSED WITH ALKALI), INVERT SUGAR, FRUCTOSE, OREO COOKIE CRUMB (ENRICHED WHEAT FLOUR [WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID], SUGAR, CANOLA OIL, COCOA POWDER [PROCESSED WITH ALKALI], HIGH FRUCTOSE CORN SYRUP, SALT, SOYBEAN LECITHIN [EMULSIFIER], LEAVENING [SODIUM BICARBONATE, AMMONIUM BICARBONATE], UNSWEETENED CHOCOLATE, ARTIFICIAL FLAVOR), MODIFIED CORNSTARCH, NONFAT DRY MILK, LEAVENING BLEND (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, CORNSTARCH, ENRICHED WHEAT FLOUR [WHEAT FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID], MONOCALCIUM PHOSPHATE, CALCIUM SULFATE), SALT, POLYSORBATE 60, ARTIFICIAL FLAVOR.",Cookies & Biscuits,38.0,GRM,2023-11-16,usda
